Classification,abund_before,abund_during,fold_change,adjusted_pvalue
Acidaminococcus,0.149263038548753,0.32437641723356,2.17318647930118,0.742649267517862
Akkermansia,0.456859410430839,0.617460317460317,1.35153244819457,0.783970675486647
Anaerostipes,0.943367346938775,2.013548752834466,2.16292149874669,0.0001298434710861
Bacteroides,1.2931972789115636,1.5571995464852604,1.4362467318832577,0.742649267517862
Bifidobacterium,1.3523809523809531,4.2547619047619,3.540065110275915,0.0021754997492203
Escherichia/Shigella,0.389002267573696,0.415589569160998,1.06834742057709,0.742649267517862
Faecalibacterium,2.3604875283446694,3.218140589569158,1.4811931325001426,0.742649267517862
Lachnospiraceae,0.17891156462585,0.208560090702948,1.16571609632446,0.742649267517862
Megasphaera,0.0602040816326531,0.209353741496599,3.4774011299435,0.742649267517862
Oscillibacter,0.052494331065759695,0.0879818594104308,1.683941005802705,0.266609661161019
Prevotella,0.7130385487528346,0.9835034013605443,2.133560523687025,0.783970675486647
Roseburia,1.83100907029478,2.17108843537415,1.18573330443667,0.742649267517862
Sutterella,0.423242630385488,0.482596371882086,1.14023573533351,0.783970675486647
