.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR6443837_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443837_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443840_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443840_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443863_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443863_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443869_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443869_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443899_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443899_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443902_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443902_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443914_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443914_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443940_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443940_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443945_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443945_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443965_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR6443965_2	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
