Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR6443837_1	28.99910634495085	61.63985701519215
SRR6443837_2	15.326184092940126	64.51444742329457
SRR6443840_1	74.73300434558445	19.614053178168874
SRR6443840_2	66.67525963025706	22.081461294836714
SRR6443863_1	51.55843064773586	41.208098798622174
SRR6443863_2	21.55338990170545	61.47609846257253
SRR6443869_1	21.892939685379854	67.99000969208976
SRR6443869_2	12.644449414746886	68.59390143890256
SRR6443899_1	56.9509650495566	34.64071465832026
SRR6443899_2	23.060119979134065	57.65845070422535
SRR6443902_1	42.72599695941995	48.62589170857208
SRR6443902_2	20.015202900245583	60.97824815811016
SRR6443914_1	70.15240204608976	23.408743342298195
SRR6443914_2	25.744871592047673	55.661024099562354
SRR6443940_1	41.929292171097075	49.57590314936142
SRR6443940_2	36.61065657269695	45.094738196596495
SRR6443945_1	28.349621472814867	62.16379903647621
SRR6443945_2	11.470061940812112	60.184445973847204
SRR6443965_1	29.979076443968662	61.72449029244315
SRR6443965_2	12.889883703956013	67.3105931584838
