Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR6443837_1	(1, 32.71656240691093)	(2, 32.82000297885016)	(3, 33.17679475722371)	(4, 33.2117217753947)	(5, 32.12816502829908)	(6, 33.96805183199285)	(7, 33.8413017575216)	(8, 33.30883229073578)	(9, 33.07007745010426)	(10, 35.86349419124218)	(15, 37.39982126899017)	(20, 37.644399761691986)	(25, 37.67926720285969)	(30, 38.45026809651474)	(35, 37.56714328269288)	(40, 38.13838248436104)	(45, 37.06662198391421)	(50, 37.049419124218055)	(55, 36.099508489722965)	(60, 37.308325886207925)	(65, 37.005585344057195)	(70, 37.438769734882335)	(75, 37.50028299076557)	(80, 36.82499255287459)	(85, 37.53799523383974)	(90, 36.9923145665773)	(95, 36.660470658325885)	(100, 37.1426273458445)	(105, 36.72033065236819)	(110, 37.115519809353586)	(115, 36.00854929997021)	(120, 36.970256181114095)	(125, 35.85262138814418)	(130, 36.106091748585044)	(135, 35.127896931784335)	(140, 35.74833184390825)	(145, 36.00008936550491)	(150, 34.97853738456956)	(155, 33.051787310098305)	(160, 35.144697646708366)	(165, 34.710843014596364)	(170, 34.54559130175752)	(175, 33.94212094131665)	(180, 32.19676794757223)	(185, 33.06322609472743)	(190, 33.07998212689902)	(195, 31.258132260947274)	(200, 31.706866249627648)	(205, 32.35235329162943)	(210, 31.61447721179625)	(215, 32.20013404825737)	(220, 31.254870420017873)	(225, 30.582975871313675)	(230, 28.98491212392016)	(235, 28.323711647304144)	(240, 27.866458147155196)	(245, 27.694057707747607)	(250, 25.799696579257567)
SRR6443837_2	(1, 30.995829609770627)	(2, 31.366473041406017)	(3, 31.88523979743819)	(4, 32.072311587727135)	(5, 31.760798331843908)	(6, 36.526586237712245)	(7, 35.63918677390527)	(8, 35.65750670241287)	(9, 35.0255436401549)	(10, 36.0329162943104)	(15, 35.96554959785523)	(20, 34.60418528448019)	(25, 34.74809353589514)	(30, 35.752293714626155)	(35, 35.21574322311587)	(40, 35.127375633005656)	(45, 34.559696157283284)	(50, 33.96879654453381)	(55, 35.13599940422997)	(60, 32.25019362526065)	(65, 31.941569854036345)	(70, 34.72301161751564)	(75, 36.27599046767948)	(80, 36.68869526362825)	(85, 35.81288352695859)	(90, 36.825737265415555)	(95, 35.841897527554366)	(100, 34.550446827524574)	(105, 33.998004170390224)	(110, 35.85500446827525)	(115, 33.28477807566279)	(120, 34.39871909442955)	(125, 33.420300863866544)	(130, 35.63491212392017)	(135, 32.67588620792374)	(140, 32.90844504021448)	(145, 32.29206136431337)	(150, 32.405198093535894)	(155, 31.59492106047066)	(160, 30.02852249031874)	(165, 28.39268692284778)	(170, 30.85010425975573)	(175, 30.36730711945189)	(180, 31.944518915698534)	(185, 29.795874292523088)	(190, 30.175081918379504)	(195, 27.38854632112005)	(200, 27.436550491510275)	(205, 26.260113196306225)	(210, 27.6475126601132)	(215, 24.082767351802204)	(220, 24.727599046767946)	(225, 22.782380101280907)	(230, 21.2971254095919)	(235, 20.7186327077748)	(240, 19.55345546619005)	(245, 22.03022952949438)	(250, 18.904426125341523)
SRR6443840_1	(1, 32.55881269794505)	(2, 32.65831921632172)	(3, 33.138432643441114)	(4, 33.141415629373206)	(5, 32.7488399499153)	(6, 33.64484053914709)	(7, 33.5381159313545)	(8, 33.28102673639243)	(9, 32.98976209766517)	(10, 36.27905280989909)	(15, 37.31065772998453)	(20, 37.773204684392724)	(25, 37.79500626058776)	(30, 38.51716137585622)	(35, 37.649878470943506)	(40, 38.22987405170509)	(45, 37.363578110039036)	(50, 37.28857626868969)	(55, 37.26362966782058)	(60, 38.05936510274729)	(65, 37.80066288576269)	(70, 38.051395742800324)	(75, 37.99066804154084)	(80, 37.4398762613243)	(85, 37.65687559843853)	(90, 37.242822420269576)	(95, 37.408536495543935)	(100, 37.92670693083892)	(105, 37.62556529424762)	(110, 37.70864697650438)	(115, 37.43411652058628)	(120, 37.876334978272084)	(125, 37.21911320615747)	(130, 37.17169477793327)	(135, 35.64451646166311)	(140, 36.09804816969875)	(145, 36.436458716947776)	(150, 34.81268321425941)	(155, 32.789393827797014)	(160, 34.62352507917802)	(165, 35.46069823967003)	(170, 34.994498048169696)	(175, 34.14769094792664)	(180, 31.967540693820432)	(185, 32.937946527215146)	(190, 32.80662885762687)	(195, 31.26475657361715)	(200, 31.69581645429771)	(205, 31.96878544597481)	(210, 31.56253222361346)	(215, 32.55196287839729)	(220, 30.865780363850625)	(225, 30.36631067246078)	(230, 26.74313913235619)	(235, 26.358856890329236)	(240, 25.785320763055164)	(245, 27.275329495606776)	(250, 24.68236307211967)
SRR6443840_2	(1, 30.908816380643735)	(2, 31.25889371731605)	(3, 31.86815938719894)	(4, 32.21495912204463)	(5, 32.535501215290566)	(6, 36.317669588274285)	(7, 35.99782720777786)	(8, 34.769278927598144)	(9, 35.3364145245636)	(10, 36.05757531118803)	(15, 36.52007070781469)	(20, 34.74253516977241)	(25, 35.19694336009428)	(30, 35.89332694998895)	(35, 34.94196066877808)	(40, 34.99130146571407)	(45, 35.75051189511674)	(50, 33.13731310304191)	(55, 34.81031155630846)	(60, 32.20226854238786)	(65, 32.047956102231716)	(70, 34.71523900714443)	(75, 36.83922810635634)	(80, 36.84011931943728)	(85, 36.52455623480886)	(90, 37.41703616410105)	(95, 36.00313029387935)	(100, 34.91255800250424)	(105, 34.85328864992267)	(110, 36.26276055093173)	(115, 34.7487000073654)	(120, 34.95163143551595)	(125, 34.769440966340134)	(130, 36.409000515577816)	(135, 34.06689990424984)	(140, 34.60880164984901)	(145, 32.56269426235546)	(150, 33.90866170729911)	(155, 32.88453266553731)	(160, 32.513537600353544)	(165, 29.801561464241)	(170, 31.405398836267217)	(175, 31.706849819547767)	(180, 33.17246077925903)	(185, 31.72119024821389)	(190, 30.732761287471458)	(195, 30.114627679163288)	(200, 29.70839655299403)	(205, 27.475642630919936)	(210, 28.889658982102084)	(215, 25.163084628415703)	(220, 25.469875524784563)	(225, 23.8609044707962)	(230, 21.75600648154968)	(235, 21.18135081387641)	(240, 18.379745157251232)	(245, 21.094065532294177)	(250, 18.279852109722057)
SRR6443863_1	(1, 31.4745022263295)	(2, 31.804503066453837)	(3, 32.84109048139125)	(4, 33.0317566999916)	(5, 32.34785348231538)	(6, 33.951104763505)	(7, 33.77094009913467)	(8, 33.33436948668403)	(9, 32.94749222884987)	(10, 36.01583634377888)	(15, 37.42489288414685)	(20, 37.74319079223725)	(25, 37.76177434260271)	(30, 38.515424682853066)	(35, 37.61799546332857)	(40, 38.187305721246744)	(45, 37.22434680332689)	(50, 37.09668150886331)	(55, 36.52629589179198)	(60, 37.66584894564396)	(65, 37.56815928757457)	(70, 37.782475006300935)	(75, 37.70600688901958)	(80, 37.029942031420646)	(85, 37.64243468033269)	(90, 37.07461144249349)	(95, 36.89642947156178)	(100, 37.54710577165421)	(105, 37.09902545576746)	(110, 37.46872217088129)	(115, 36.76736957069646)	(120, 37.30629253129463)	(125, 36.588087036881454)	(130, 36.68370998907838)	(135, 35.56551289590859)	(140, 36.09121229942031)	(145, 36.42069226245484)	(150, 35.28591111484499)	(155, 33.31605477610687)	(160, 35.30098294547594)	(165, 35.42715281861716)	(170, 35.153448710409144)	(175, 34.32083508359237)	(180, 32.56227001596236)	(185, 33.36912543056373)	(190, 33.45655717046123)	(195, 31.758094598000504)	(200, 32.19104427455263)	(205, 32.53020246996556)	(210, 31.941300512475845)	(215, 32.66652104511468)	(220, 31.699218684365285)	(225, 31.04193900697303)	(230, 28.705603629337144)	(235, 28.317558598672598)	(240, 27.581399647147776)	(245, 28.053895324630055)	(250, 25.73340064706681)
SRR6443863_2	(1, 31.03587330924977)	(2, 31.397798874233388)	(3, 31.949550533478956)	(4, 32.23779719398471)	(5, 32.55406200117618)	(6, 36.37557758548265)	(7, 36.12900109216164)	(8, 34.71351760060489)	(9, 35.11459295975804)	(10, 36.09701755859867)	(15, 36.223506678988485)	(20, 34.76659665630514)	(25, 35.20226833571369)	(30, 36.24850037805595)	(35, 35.241460136100144)	(40, 35.52799294295555)	(45, 35.177543476434515)	(50, 34.582113752835426)	(55, 35.101352600184825)	(60, 32.25208770898092)	(65, 31.92505250777115)	(70, 34.804536671427364)	(75, 36.5244476182475)	(80, 37.00556162312022)	(85, 36.20876249684953)	(90, 37.1154582878266)	(95, 36.050768713769635)	(100, 34.85822901789465)	(105, 34.61212299420314)	(110, 36.19201881878517)	(115, 34.062841300512474)	(120, 34.69012013778039)	(125, 34.47321683609174)	(130, 36.08282785852306)	(135, 33.8105687641771)	(140, 34.13736873057212)	(145, 32.51700411660926)	(150, 32.92496849533732)	(155, 32.50143661261867)	(160, 31.494051919684107)	(165, 29.466344619003614)	(170, 31.039620263799044)	(175, 31.449038057632528)	(180, 33.04294715617911)	(185, 31.082979080903975)	(190, 30.69469881542468)	(195, 29.0773922540536)	(200, 29.14544232546417)	(205, 27.320112576661348)	(210, 28.82249852978241)	(215, 25.140166344619004)	(220, 25.27903889775687)	(225, 23.491791985213812)	(230, 21.657262874905484)	(235, 21.010081492060824)	(240, 19.18394522389314)	(245, 21.38813525448181)	(250, 18.66420601819217)
SRR6443869_1	(1, 32.61171997316037)	(2, 32.87098337433833)	(3, 33.34470290017148)	(4, 33.30313874599269)	(5, 32.56601804219787)	(6, 35.49094162379781)	(7, 35.320435398494)	(8, 33.69533288600611)	(9, 33.85637068515619)	(10, 35.83167076716618)	(15, 37.67458435845821)	(20, 37.85575933795572)	(25, 37.80001491090732)	(30, 38.62993364646239)	(35, 37.787541936926864)	(40, 38.34049802430478)	(45, 37.43837322001043)	(50, 37.54519496011333)	(55, 36.83813464549318)	(60, 37.72637739506449)	(65, 37.835808543949895)	(70, 37.89941101916052)	(75, 37.894400954298064)	(80, 37.34035637068515)	(85, 37.80061880265414)	(90, 37.3530008200999)	(95, 37.12868858570044)	(100, 37.85687765600537)	(105, 37.50996048609558)	(110, 37.71755013792589)	(115, 37.139812122567655)	(120, 37.326258107805856)	(125, 36.66919406545888)	(130, 36.76252143442929)	(135, 36.274576903004544)	(140, 36.69899351375531)	(145, 36.940110340714234)	(150, 35.92340266905241)	(155, 35.409915753373596)	(160, 35.99790501752032)	(165, 35.6167971371058)	(170, 35.513554014761795)	(175, 35.37301125773503)	(180, 34.26725564750615)	(185, 35.07506150749273)	(190, 34.50513680757474)	(195, 33.88060836501901)	(200, 33.794423320659064)	(205, 33.97119212704093)	(210, 33.28482069633937)	(215, 33.91932453589801)	(220, 33.27936330425706)	(225, 33.106128382912104)	(230, 31.22154626108999)	(235, 31.29307388354581)	(240, 30.344024453888018)	(245, 30.566650566556103)	(250, 27.826502790961392)
SRR6443869_2	(1, 30.20659062103929)	(2, 32.097703720271376)	(3, 31.68474614180273)	(4, 29.394617162454335)	(5, 30.79650339223142)	(6, 35.665809289495265)	(7, 35.344963841049726)	(8, 33.156937299634684)	(9, 34.339036755386566)	(10, 36.154901960784315)	(15, 36.18057108775069)	(20, 34.89109818832476)	(25, 35.73363900693357)	(30, 36.784865429061355)	(35, 35.98578244986207)	(40, 36.267934093789606)	(45, 35.09015880116304)	(50, 36.61207037948259)	(55, 36.56330425706405)	(60, 35.0814060985611)	(65, 34.869686125400726)	(70, 35.1936628643853)	(75, 36.95933050026095)	(80, 37.04383806754642)	(85, 36.6610750764184)	(90, 37.03873108178633)	(95, 36.65401476179825)	(100, 35.496175352270185)	(105, 35.05475285171103)	(110, 37.08092894952658)	(115, 35.0047267576232)	(120, 35.84251845224782)	(125, 34.78884664131812)	(130, 36.57980317602326)	(135, 33.69541489599642)	(140, 34.81096697234027)	(145, 34.42569894878103)	(150, 34.07476328934615)	(155, 34.04466562290316)	(160, 31.49918735555059)	(165, 31.468821292775665)	(170, 32.40897636621188)	(175, 31.099239543726235)	(180, 32.89179900096921)	(185, 31.339111309923208)	(190, 31.641750540520388)	(195, 29.492887497204208)	(200, 29.187497204204874)	(205, 28.099187355550583)	(210, 28.447796913442183)	(215, 26.411183180496533)	(220, 25.819861328561842)	(225, 23.78290464474763)	(230, 22.80248266607023)	(235, 22.180138671438158)	(240, 21.717699246999178)	(245, 22.896582689474407)	(250, 19.146191086382448)
SRR6443899_1	(1, 32.704877412623894)	(2, 32.63302034428795)	(3, 33.018616327595204)	(4, 33.07378064684403)	(5, 32.35990479916536)	(6, 33.89752869066249)	(7, 33.82726917057903)	(8, 33.57524778299426)	(9, 33.00042383933229)	(10, 35.9931859676578)	(15, 37.451017214397496)	(20, 37.69226004173187)	(25, 37.72252217005739)	(30, 38.48405059989567)	(35, 37.60552947313511)	(40, 38.17067683881064)	(45, 37.21488654147105)	(50, 37.13187271778821)	(55, 36.402940792905575)	(60, 37.710922013562865)	(65, 37.66607981220657)	(70, 37.878240740740736)	(75, 37.6925991131977)	(80, 37.03542644757434)	(85, 37.611554512258735)	(90, 37.04053208137715)	(95, 36.82758215962441)	(100, 37.40303860198227)	(105, 37.163002086593636)	(110, 37.43664580073031)	(115, 36.58722613458529)	(120, 37.334494001043296)	(125, 36.57588028169014)	(130, 36.56631455399061)	(135, 35.58206181533646)	(140, 35.91106546687532)	(145, 36.21107850808555)	(150, 35.081514084507035)	(155, 33.02045513823683)	(160, 35.02979264475743)	(165, 35.09726134585289)	(170, 34.909096244131455)	(175, 34.07827986437142)	(180, 32.15097809076683)	(185, 33.026519300991126)	(190, 33.20524256651017)	(195, 31.48530907668232)	(200, 32.15800078247262)	(205, 32.50195618153364)	(210, 31.70647496087637)	(215, 32.3939945226917)	(220, 31.412017475221706)	(225, 30.639756129368806)	(230, 28.560758998435055)	(235, 28.15637715179969)	(240, 27.36868153364632)	(245, 27.9388807303139)	(250, 25.732632043672723)
SRR6443899_2	(1, 30.36952269170579)	(2, 31.21915753781951)	(3, 32.054121022430884)	(4, 29.326747522170056)	(5, 30.822541731872718)	(6, 35.98545905059989)	(7, 35.69516171100678)	(8, 34.67119848721961)	(9, 35.0261802295253)	(10, 35.976838810641624)	(15, 36.04306859676578)	(20, 34.49127543035994)	(25, 34.95331898800209)	(30, 35.98197052686489)	(35, 35.01965310380803)	(40, 35.486776212832545)	(45, 34.636978351591026)	(50, 34.15901147626499)	(55, 34.7202269170579)	(60, 32.21234350547731)	(65, 31.716464527908194)	(70, 34.61206311945749)	(75, 36.59413797600418)	(80, 36.973356807511735)	(85, 36.133685446009395)	(90, 36.95503390714658)	(95, 36.0818140323422)	(100, 34.801538862806474)	(105, 34.377679968701095)	(110, 36.19739827856024)	(115, 34.21263041210225)	(120, 34.64646583202921)	(125, 34.29237741262389)	(130, 36.0246218049035)	(135, 33.445774647887326)	(140, 33.81007433489828)	(145, 32.69151669274909)	(150, 33.14597026604069)	(155, 32.32370239958268)	(160, 30.799595722483048)	(165, 28.913452008346372)	(170, 30.72490219092332)	(175, 30.943479394887845)	(180, 32.386163275952)	(185, 30.762760824204484)	(190, 30.111463223787165)	(195, 27.77858633281168)	(200, 28.2926512780386)	(205, 26.889019300991134)	(210, 28.113882368283775)	(215, 24.435126499739177)	(220, 24.694379238393324)	(225, 23.34612676056338)	(230, 21.349889149713093)	(235, 20.968388106416274)	(240, 18.929607772814713)	(245, 21.345337456518017)	(250, 18.784811203739658)
