Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR6443837_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.3333333333333333)	(39.0, 0.3333333333333333)	(40.0, 1.9999999999999998)	(41.0, 19.333333333333332)	(42.0, 18.333333333333336)	(43.0, 2.333333333333333)	(44.0, 8.666666666666664)	(45.0, 77.99999999999997)	(46.0, 901.6666666666993)	(47.0, 700.0000000000097)	(48.0, 545.6666666666588)	(49.0, 1236.6666666666647)	(50.0, 1065.6666666667036)	(51.0, 440.9999999999924)	(52.0, 433.66666666665947)	(53.0, 278.6666666666683)	(54.0, 497.99999999998914)	(55.0, 204.33333333333476)	(56.0, 157.00000000000009)	(57.0, 51.66666666666676)	(58.0, 37.99999999999999)	(59.0, 3.0)	(60.0, 0.6666666666666666)	(61.0, 0.0)	(62.0, 0.3333333333333333)	(63.0, 0.3333333333333333)	(64.0, 0.3333333333333333)	(65.0, 0.0)	(66.0, 0.3333333333333333)	(67.0, 0.0)	(68.0, 0.3333333333333333)	(69.0, 3.0)	(70.0, 1.3333333333333333)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR6443837_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.3333333333333333)	(36.0, 0.3333333333333333)	(37.0, 0.0)	(38.0, 0.6666666666666666)	(39.0, 1.3333333333333333)	(40.0, 2.6666666666666665)	(41.0, 4.666666666666666)	(42.0, 8.666666666666664)	(43.0, 23.999999999999982)	(44.0, 21.666666666666657)	(45.0, 113.3333333333328)	(46.0, 347.99999999999767)	(47.0, 1192.6666666666747)	(48.0, 1373.9999999999668)	(49.0, 911.333333333367)	(50.0, 219.66666666666853)	(51.0, 282.0000000000014)	(52.0, 468.9999999999908)	(53.0, 426.33333333332655)	(54.0, 281.6666666666681)	(55.0, 404.3333333333278)	(56.0, 328.66666666666544)	(57.0, 165.0000000000003)	(58.0, 112.33333333333282)	(59.0, 31.66666666666662)	(60.0, 25.33333333333331)	(61.0, 28.3333333333333)	(62.0, 11.000000000000002)	(63.0, 4.666666666666666)	(64.0, 1.6666666666666665)	(65.0, 1.0)	(66.0, 1.0)	(67.0, 0.3333333333333333)	(68.0, 1.3333333333333333)	(69.0, 1.0)	(70.0, 1.0)	(71.0, 0.6666666666666666)	(72.0, 0.6666666666666666)	(73.0, 1.0)	(74.0, 0.0)	(75.0, 0.6666666666666666)	(76.0, 0.3333333333333333)	(77.0, 0.3333333333333333)	(78.0, 0.3333333333333333)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR6443840_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.3333333333333333)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.3333333333333333)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.3333333333333333)	(39.0, 0.3333333333333333)	(40.0, 0.0)	(41.0, 0.6666666666666666)	(42.0, 3.666666666666667)	(43.0, 4.0)	(44.0, 23.999999999999982)	(45.0, 143.66666666666637)	(46.0, 5852.999999999147)	(47.0, 6451.999999998602)	(48.0, 251.66666666666944)	(49.0, 52.666666666666764)	(50.0, 110.66666666666617)	(51.0, 1231.6666666666658)	(52.0, 682.0000000000076)	(53.0, 148.33333333333317)	(54.0, 81.66666666666659)	(55.0, 79.66666666666661)	(56.0, 28.999999999999964)	(57.0, 56.00000000000012)	(58.0, 54.33333333333344)	(59.0, 3.0)	(60.0, 0.6666666666666666)	(61.0, 1.0)	(62.0, 0.3333333333333333)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.3333333333333333)	(66.0, 0.3333333333333333)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR6443840_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.3333333333333333)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.3333333333333333)	(35.0, 0.0)	(36.0, 0.3333333333333333)	(37.0, 0.6666666666666666)	(38.0, 0.3333333333333333)	(39.0, 1.0)	(40.0, 3.0)	(41.0, 5.333333333333332)	(42.0, 14.666666666666675)	(43.0, 21.333333333333325)	(44.0, 41.33333333333335)	(45.0, 107.99999999999955)	(46.0, 417.33333333332706)	(47.0, 5316.666666666301)	(48.0, 5688.33333333263)	(49.0, 473.3333333333239)	(50.0, 116.33333333333276)	(51.0, 236.66666666666902)	(52.0, 1201.0000000000061)	(53.0, 571.3333333333284)	(54.0, 124.33333333333265)	(55.0, 77.66666666666664)	(56.0, 96.9999999999997)	(57.0, 39.66666666666667)	(58.0, 8.999999999999998)	(59.0, 6.999999999999997)	(60.0, 29.99999999999996)	(61.0, 49.66666666666674)	(62.0, 15.333333333333343)	(63.0, 1.9999999999999998)	(64.0, 1.0)	(65.0, 1.0)	(66.0, 0.6666666666666666)	(67.0, 0.3333333333333333)	(68.0, 1.0)	(69.0, 1.0)	(70.0, 0.6666666666666666)	(71.0, 0.0)	(72.0, 0.3333333333333333)	(73.0, 0.3333333333333333)	(74.0, 0.0)	(75.0, 0.3333333333333333)	(76.0, 0.6666666666666666)	(77.0, 0.3333333333333333)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.3333333333333333)	(81.0, 0.3333333333333333)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.6666666666666666)	(88.0, 1.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.3333333333333333)	(92.0, 0.3333333333333333)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR6443863_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.6666666666666666)	(37.0, 0.3333333333333333)	(38.0, 0.3333333333333333)	(39.0, 0.3333333333333333)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 1.3333333333333333)	(43.0, 6.333333333333331)	(44.0, 22.666666666666654)	(45.0, 281.0000000000015)	(46.0, 2975.000000000235)	(47.0, 2293.9999999999254)	(48.0, 850.0000000000267)	(49.0, 335.99999999999835)	(50.0, 191.3333333333344)	(51.0, 1164.3333333333478)	(52.0, 1086.0000000000323)	(53.0, 428.66666666665975)	(54.0, 623.3333333333343)	(55.0, 395.6666666666616)	(56.0, 37.33333333333332)	(57.0, 43.00000000000003)	(58.0, 54.33333333333344)	(59.0, 4.999999999999999)	(60.0, 1.9999999999999998)	(61.0, 0.3333333333333333)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.3333333333333333)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.6666666666666666)	(68.0, 1.6666666666666665)	(69.0, 7.33333333333333)	(70.0, 1.6666666666666665)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.3333333333333333)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR6443863_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.3333333333333333)	(34.0, 0.3333333333333333)	(35.0, 0.0)	(36.0, 0.6666666666666666)	(37.0, 0.3333333333333333)	(38.0, 1.0)	(39.0, 3.0)	(40.0, 4.999999999999999)	(41.0, 7.666666666666663)	(42.0, 16.333333333333343)	(43.0, 35.33333333333331)	(44.0, 198.66666666666794)	(45.0, 789.6666666666865)	(46.0, 944.0000000000374)	(47.0, 3036.000000000263)	(48.0, 1495.999999999939)	(49.0, 496.6666666666559)	(50.0, 142.9999999999997)	(51.0, 288.6666666666677)	(52.0, 1099.6666666666958)	(53.0, 941.6666666667038)	(54.0, 499.6666666666557)	(55.0, 469.6666666666574)	(56.0, 344.99999999999784)	(57.0, 126.99999999999928)	(58.0, 22.33333333333332)	(59.0, 14.333333333333341)	(60.0, 27.333333333333304)	(61.0, 37.33333333333332)	(62.0, 11.333333333333336)	(63.0, 3.3333333333333335)	(64.0, 1.0)	(65.0, 1.3333333333333333)	(66.0, 0.3333333333333333)	(67.0, 0.3333333333333333)	(68.0, 1.0)	(69.0, 1.0)	(70.0, 1.9999999999999998)	(71.0, 2.6666666666666665)	(72.0, 5.999999999999998)	(73.0, 2.6666666666666665)	(74.0, 0.3333333333333333)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.3333333333333333)	(87.0, 0.3333333333333333)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR6443869_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.3333333333333333)	(39.0, 1.0)	(40.0, 4.333333333333333)	(41.0, 113.3333333333328)	(42.0, 115.99999999999943)	(43.0, 4.666666666666666)	(44.0, 5.999999999999998)	(45.0, 137.6666666666662)	(46.0, 912.0000000000338)	(47.0, 927.3333333333688)	(48.0, 1450.666666666616)	(49.0, 1035.3333333333771)	(50.0, 773.6666666666847)	(51.0, 1635.3333333332407)	(52.0, 1629.6666666665753)	(53.0, 1211.6666666666704)	(54.0, 1655.9999999999027)	(55.0, 822.3333333333569)	(56.0, 180.00000000000074)	(57.0, 218.33333333333516)	(58.0, 197.33333333333456)	(59.0, 15.666666666666677)	(60.0, 3.666666666666667)	(61.0, 1.3333333333333333)	(62.0, 1.0)	(63.0, 1.6666666666666665)	(64.0, 4.333333333333333)	(65.0, 6.333333333333331)	(66.0, 2.6666666666666665)	(67.0, 1.9999999999999998)	(68.0, 8.666666666666664)	(69.0, 74.33333333333336)	(70.0, 10.333333333333334)	(71.0, 1.6666666666666665)	(72.0, 1.3333333333333333)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR6443869_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.3333333333333333)	(33.0, 0.3333333333333333)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.6666666666666666)	(39.0, 0.3333333333333333)	(40.0, 1.6666666666666665)	(41.0, 3.666666666666667)	(42.0, 24.99999999999998)	(43.0, 120.99999999999936)	(44.0, 50.00000000000008)	(45.0, 56.33333333333346)	(46.0, 308.33333333333326)	(47.0, 1752.3333333332141)	(48.0, 1610.3333333332464)	(49.0, 453.333333333325)	(50.0, 337.6666666666649)	(51.0, 852.000000000027)	(52.0, 1555.9999999999254)	(53.0, 1714.9999999998893)	(54.0, 1229.333333333333)	(55.0, 1161.0000000000152)	(56.0, 984.6666666667087)	(57.0, 344.3333333333312)	(58.0, 62.3333333333335)	(59.0, 23.999999999999982)	(60.0, 102.33333333333296)	(61.0, 162.6666666666669)	(62.0, 58.33333333333347)	(63.0, 18.000000000000004)	(64.0, 6.333333333333331)	(65.0, 5.999999999999998)	(66.0, 4.999999999999999)	(67.0, 6.999999999999997)	(68.0, 7.33333333333333)	(69.0, 6.333333333333331)	(70.0, 5.666666666666665)	(71.0, 16.333333333333343)	(72.0, 46.00000000000005)	(73.0, 24.666666666666647)	(74.0, 4.0)	(75.0, 0.3333333333333333)	(76.0, 1.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.3333333333333333)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.3333333333333333)	(100.0, 0.0)
SRR6443899_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.3333333333333333)	(34.0, 0.3333333333333333)	(35.0, 0.3333333333333333)	(36.0, 0.3333333333333333)	(37.0, 0.3333333333333333)	(38.0, 0.6666666666666666)	(39.0, 1.3333333333333333)	(40.0, 3.0)	(41.0, 31.999999999999954)	(42.0, 34.666666666666636)	(43.0, 15.666666666666677)	(44.0, 43.333333333333364)	(45.0, 661.3333333333386)	(46.0, 4194.333333333989)	(47.0, 1737.3333333332175)	(48.0, 1455.666666666615)	(49.0, 1329.3333333333103)	(50.0, 445.6666666666588)	(51.0, 710.3333333333442)	(52.0, 1158.3333333333492)	(53.0, 1413.9999999999577)	(54.0, 814.0000000000226)	(55.0, 514.9999999999886)	(56.0, 83.99999999999989)	(57.0, 52.33333333333343)	(58.0, 45.00000000000004)	(59.0, 19.999999999999996)	(60.0, 13.666666666666673)	(61.0, 2.333333333333333)	(62.0, 0.3333333333333333)	(63.0, 0.6666666666666666)	(64.0, 0.6666666666666666)	(65.0, 1.0)	(66.0, 0.6666666666666666)	(67.0, 1.0)	(68.0, 4.666666666666666)	(69.0, 27.666666666666636)	(70.0, 6.666666666666664)	(71.0, 1.0)	(72.0, 0.3333333333333333)	(73.0, 0.6666666666666666)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.3333333333333333)	(80.0, 0.3333333333333333)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR6443899_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.3333333333333333)	(31.0, 0.3333333333333333)	(32.0, 0.3333333333333333)	(33.0, 0.6666666666666666)	(34.0, 0.6666666666666666)	(35.0, 1.6666666666666665)	(36.0, 2.6666666666666665)	(37.0, 2.333333333333333)	(38.0, 4.333333333333333)	(39.0, 5.666666666666665)	(40.0, 7.9999999999999964)	(41.0, 16.333333333333343)	(42.0, 44.000000000000036)	(43.0, 105.33333333333292)	(44.0, 370.66666666666305)	(45.0, 1407.999999999959)	(46.0, 1159.6666666666822)	(47.0, 3010.3333333335845)	(48.0, 2357.666666666621)	(49.0, 1081.0000000000334)	(50.0, 251.00000000000276)	(51.0, 392.3333333333285)	(52.0, 657.0000000000048)	(53.0, 761.6666666666833)	(54.0, 1129.0000000000225)	(55.0, 1156.3333333333496)	(56.0, 489.9999999999896)	(57.0, 112.33333333333282)	(58.0, 23.999999999999982)	(59.0, 10.666666666666668)	(60.0, 27.333333333333304)	(61.0, 37.66666666666666)	(62.0, 22.666666666666654)	(63.0, 18.000000000000004)	(64.0, 11.66666666666667)	(65.0, 3.666666666666667)	(66.0, 1.3333333333333333)	(67.0, 0.3333333333333333)	(68.0, 1.9999999999999998)	(69.0, 3.3333333333333335)	(70.0, 3.666666666666667)	(71.0, 8.999999999999998)	(72.0, 19.999999999999996)	(73.0, 6.666666666666664)	(74.0, 2.333333333333333)	(75.0, 0.3333333333333333)	(76.0, 0.0)	(77.0, 0.3333333333333333)	(78.0, 0.3333333333333333)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.3333333333333333)	(84.0, 0.3333333333333333)	(85.0, 0.3333333333333333)	(86.0, 0.3333333333333333)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.5)
