Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR6443837_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.004981816370248558)	(39.0, 0.004981816370248558)	(40.0, 0.02989089822149135)	(41.0, 0.28894534947441636)	(42.0, 0.2739999003636708)	(43.0, 0.034872714591739906)	(44.0, 0.1295272256264625)	(45.0, 1.1657450306381623)	(46.0, 13.47581328152284)	(47.0, 10.461814377522117)	(48.0, 8.155233398096772)	(49.0, 18.48253873362212)	(50.0, 15.926866935685194)	(51.0, 6.590943057838729)	(52.0, 6.4813430976932676)	(53.0, 4.164798485527819)	(54.0, 7.442833657151185)	(55.0, 3.0538534349623876)	(56.0, 2.346435510387072)	(57.0, 0.7721815373885279)	(58.0, 0.5679270662083357)	(59.0, 0.04483634733223703)	(60.0, 0.009963632740497117)	(61.0, 0.0)	(62.0, 0.004981816370248558)	(63.0, 0.004981816370248558)	(64.0, 0.004981816370248558)	(65.0, 0.0)	(66.0, 0.004981816370248558)	(67.0, 0.0)	(68.0, 0.004981816370248558)	(69.0, 0.04483634733223703)	(70.0, 0.019927265480994234)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR6443837_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.004898359049718353)	(36.0, 0.004898359049718353)	(37.0, 0.0)	(38.0, 0.009796718099436707)	(39.0, 0.019593436198873413)	(40.0, 0.039186872397746826)	(41.0, 0.06857702669605693)	(42.0, 0.12735733529267718)	(43.0, 0.3526818515797212)	(44.0, 0.31839333823169286)	(45.0, 1.6654420769042322)	(46.0, 5.113886847905927)	(47.0, 17.526328679892387)	(48.0, 20.191036002938564)	(49.0, 13.392113641930473)	(50.0, 3.2280186137644225)	(51.0, 4.144011756061748)	(52.0, 6.891991182953588)	(53.0, 6.265001224589674)	(54.0, 4.13911339701203)	(55.0, 5.941709527308282)	(56.0, 4.829782023022278)	(57.0, 2.4246877296105898)	(58.0, 1.6507469997550774)	(59.0, 0.4653441097232429)	(60.0, 0.37227528777859453)	(61.0, 0.41636051922605954)	(62.0, 0.1616458486407057)	(63.0, 0.06857702669605693)	(64.0, 0.024491795248591765)	(65.0, 0.014695077149155059)	(66.0, 0.014695077149155059)	(67.0, 0.004898359049718353)	(68.0, 0.019593436198873413)	(69.0, 0.014695077149155059)	(70.0, 0.014695077149155059)	(71.0, 0.009796718099436707)	(72.0, 0.009796718099436707)	(73.0, 0.014695077149155059)	(74.0, 0.0)	(75.0, 0.009796718099436707)	(76.0, 0.004898359049718353)	(77.0, 0.004898359049718353)	(78.0, 0.004898359049718353)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR6443840_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0021835491407737337)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0021835491407737337)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0021835491407737337)	(39.0, 0.0021835491407737337)	(40.0, 0.0)	(41.0, 0.0043670982815474674)	(42.0, 0.024019040548511072)	(43.0, 0.026202589689284805)	(44.0, 0.1572155381357087)	(45.0, 0.9411096796734773)	(46.0, 38.3409393628404)	(47.0, 42.264777168807235)	(48.0, 1.6485796012841871)	(49.0, 0.34500076424225057)	(50.0, 0.7249383147368764)	(51.0, 8.06821407515894)	(52.0, 4.467541542023109)	(53.0, 0.9716793676443104)	(54.0, 0.5349695394895642)	(55.0, 0.521868244644922)	(56.0, 0.1899687752473146)	(57.0, 0.36683625564998806)	(58.0, 0.3559185099461193)	(59.0, 0.019651942266963603)	(60.0, 0.0043670982815474674)	(61.0, 0.006550647422321201)	(62.0, 0.0021835491407737337)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0021835491407737337)	(66.0, 0.0021835491407737337)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR6443840_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0022706630336059804)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0022706630336059804)	(35.0, 0.0)	(36.0, 0.0022706630336059804)	(37.0, 0.004541326067211961)	(38.0, 0.0022706630336059804)	(39.0, 0.00681198910081794)	(40.0, 0.020435967302453825)	(41.0, 0.03633060853769568)	(42.0, 0.09990917347866318)	(43.0, 0.1453224341507827)	(44.0, 0.28156221616714167)	(45.0, 0.7356948228883344)	(46.0, 2.8428701180746447)	(47.0, 36.2170753860129)	(48.0, 38.74886466848126)	(49.0, 3.2243415077204274)	(50.0, 0.7924613987284832)	(51.0, 1.612170753860262)	(52.0, 8.18119891008239)	(53.0, 3.8919164396006165)	(54.0, 0.846957311535026)	(55.0, 0.5290644868301932)	(56.0, 0.6607629427793382)	(57.0, 0.27020890099911166)	(58.0, 0.061307901907361455)	(59.0, 0.047683923705725564)	(60.0, 0.20435967302453797)	(61.0, 0.3383287920072916)	(62.0, 0.10445049954587515)	(63.0, 0.01362397820163588)	(64.0, 0.00681198910081794)	(65.0, 0.00681198910081794)	(66.0, 0.004541326067211961)	(67.0, 0.0022706630336059804)	(68.0, 0.00681198910081794)	(69.0, 0.00681198910081794)	(70.0, 0.004541326067211961)	(71.0, 0.0)	(72.0, 0.0022706630336059804)	(73.0, 0.0022706630336059804)	(74.0, 0.0)	(75.0, 0.0022706630336059804)	(76.0, 0.004541326067211961)	(77.0, 0.0022706630336059804)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0022706630336059804)	(81.0, 0.0022706630336059804)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.004541326067211961)	(88.0, 0.00681198910081794)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0022706630336059804)	(92.0, 0.0022706630336059804)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR6443863_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.006166368625516304)	(37.0, 0.003083184312758152)	(38.0, 0.003083184312758152)	(39.0, 0.003083184312758152)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.012332737251032608)	(43.0, 0.058580501942404876)	(44.0, 0.20965653326755423)	(45.0, 2.599124375655136)	(46.0, 27.517419991368687)	(47.0, 21.218474440400914)	(48.0, 7.862119997533536)	(49.0, 3.1078497872602022)	(50.0, 1.7697477955231893)	(51.0, 10.769562804464359)	(52.0, 10.04501449096636)	(53.0, 3.9649750262069197)	(54.0, 5.765554664857754)	(55.0, 3.6597397792438797)	(56.0, 0.34531664302891296)	(57.0, 0.39773077634580195)	(58.0, 0.5025590429795798)	(59.0, 0.046247764691372276)	(60.0, 0.01849910587654891)	(61.0, 0.003083184312758152)	(62.0, 0.0)	(63.0, 0.0)	(64.0, 0.003083184312758152)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.006166368625516304)	(68.0, 0.015415921563790761)	(69.0, 0.06783005488067932)	(70.0, 0.015415921563790761)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.003083184312758152)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR6443863_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0030082425846819473)	(34.0, 0.0030082425846819473)	(35.0, 0.0)	(36.0, 0.006016485169363895)	(37.0, 0.0030082425846819473)	(38.0, 0.009024727754045843)	(39.0, 0.02707418326213753)	(40.0, 0.0451236387702292)	(41.0, 0.06918957944768475)	(42.0, 0.1474038866494155)	(43.0, 0.3188737139762862)	(44.0, 1.7929125804704522)	(45.0, 7.126526683111713)	(46.0, 8.519342999819612)	(47.0, 27.39907346128555)	(48.0, 13.500992720052029)	(49.0, 4.4822814511760045)	(50.0, 1.2905360688285528)	(51.0, 2.605138078334576)	(52.0, 9.924192286866008)	(53.0, 8.498285301726836)	(54.0, 4.5093556344381405)	(55.0, 4.23861380181678)	(56.0, 3.1135310751457963)	(57.0, 1.1461404247638154)	(58.0, 0.20155225317369038)	(59.0, 0.1293544311413238)	(60.0, 0.24667589194391942)	(61.0, 0.336923169484378)	(62.0, 0.10228024787918624)	(63.0, 0.030082425846819475)	(64.0, 0.009024727754045843)	(65.0, 0.01203297033872779)	(66.0, 0.0030082425846819473)	(67.0, 0.0030082425846819473)	(68.0, 0.009024727754045843)	(69.0, 0.009024727754045843)	(70.0, 0.018049455508091682)	(71.0, 0.02406594067745558)	(72.0, 0.054148366524275036)	(73.0, 0.02406594067745558)	(74.0, 0.0030082425846819473)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0030082425846819473)	(87.0, 0.0030082425846819473)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR6443869_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0025313892264074854)	(39.0, 0.007594167679222457)	(40.0, 0.03290805994329731)	(41.0, 0.8606723369785411)	(42.0, 0.8809234507898007)	(43.0, 0.0354394491697048)	(44.0, 0.04556500607533473)	(45.0, 1.045463750506288)	(46.0, 6.925880923451137)	(47.0, 7.042324827865895)	(48.0, 11.016605913324993)	(49.0, 7.862494937221983)	(50.0, 5.875354394491912)	(51.0, 12.418995544754422)	(52.0, 12.375961927905504)	(53.0, 9.201599837991239)	(54.0, 12.575941676791649)	(55.0, 6.244937221547446)	(56.0, 1.3669501822600478)	(57.0, 1.658059943296917)	(58.0, 1.4985824220332409)	(59.0, 0.11897529364115189)	(60.0, 0.027845281490482345)	(61.0, 0.010125556905629942)	(62.0, 0.007594167679222457)	(63.0, 0.012656946132037428)	(64.0, 0.03290805994329731)	(65.0, 0.048096395301742215)	(66.0, 0.020251113811259883)	(67.0, 0.015188335358444912)	(68.0, 0.06581611988659461)	(69.0, 0.5644997974888695)	(70.0, 0.07847306601863206)	(71.0, 0.012656946132037428)	(72.0, 0.010125556905629942)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR6443869_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0025391021734715215)	(33.0, 0.0025391021734715215)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.005078204346943043)	(39.0, 0.0025391021734715215)	(40.0, 0.012695510867357608)	(41.0, 0.02793012390818674)	(42.0, 0.19043266301036396)	(43.0, 0.9216940889701575)	(44.0, 0.38086532602072887)	(45.0, 0.42910826731668816)	(46.0, 2.348669510461157)	(47.0, 13.348060125938883)	(48.0, 12.266402600040259)	(49.0, 3.453178955921206)	(50.0, 2.5721105017266384)	(51.0, 6.489945155393414)	(52.0, 11.852528945764496)	(53.0, 13.063680682510137)	(54.0, 9.36420881576297)	(55.0, 8.843692870201426)	(56.0, 7.500507820435195)	(57.0, 2.622892545196066)	(58.0, 0.4748121064391759)	(59.0, 0.18281535648994943)	(60.0, 0.7795043672557543)	(61.0, 1.2390818606541045)	(62.0, 0.44434288035751734)	(63.0, 0.1371115173674622)	(64.0, 0.0482429412959589)	(65.0, 0.04570383912248738)	(66.0, 0.03808653260207282)	(67.0, 0.05332114564290194)	(68.0, 0.05586024781637346)	(69.0, 0.0482429412959589)	(70.0, 0.04316473694901586)	(71.0, 0.12441600650010465)	(72.0, 0.3503960999390704)	(73.0, 0.18789356083689243)	(74.0, 0.03046922608165826)	(75.0, 0.0025391021734715215)	(76.0, 0.007617306520414565)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0025391021734715215)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0025391021734715215)	(100.0, 0.0)
SRR6443899_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0022475445575707844)	(34.0, 0.0022475445575707844)	(35.0, 0.0022475445575707844)	(36.0, 0.0022475445575707844)	(37.0, 0.0022475445575707844)	(38.0, 0.004495089115141569)	(39.0, 0.008990178230283138)	(40.0, 0.02022790101813706)	(41.0, 0.215764277526795)	(42.0, 0.2337446339873614)	(43.0, 0.10563459420582695)	(44.0, 0.2921807924842022)	(45.0, 4.459128402220473)	(46.0, 28.280853167917602)	(47.0, 11.714202234058149)	(48.0, 9.815027082911268)	(49.0, 8.963207695592134)	(50.0, 3.004967073472086)	(51.0, 4.789517452183415)	(52.0, 7.8102173375585835)	(53.0, 9.534084013214983)	(54.0, 5.488503809588009)	(55.0, 3.4724563414467857)	(56.0, 0.566381228507837)	(57.0, 0.3528644955386138)	(58.0, 0.3034185152720562)	(59.0, 0.13485267345424706)	(60.0, 0.09214932686040221)	(61.0, 0.01573281190299549)	(62.0, 0.0022475445575707844)	(63.0, 0.004495089115141569)	(64.0, 0.004495089115141569)	(65.0, 0.006742633672712353)	(66.0, 0.004495089115141569)	(67.0, 0.006742633672712353)	(68.0, 0.03146562380599098)	(69.0, 0.18654619827837493)	(70.0, 0.04495089115141568)	(71.0, 0.006742633672712353)	(72.0, 0.0022475445575707844)	(73.0, 0.004495089115141569)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0022475445575707844)	(80.0, 0.0022475445575707844)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR6443899_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.002261906108277406)	(31.0, 0.002261906108277406)	(32.0, 0.002261906108277406)	(33.0, 0.004523812216554812)	(34.0, 0.004523812216554812)	(35.0, 0.011309530541387027)	(36.0, 0.018095248866219247)	(37.0, 0.015833342757941838)	(38.0, 0.029404779407606274)	(39.0, 0.03845240384071589)	(40.0, 0.05428574659865771)	(41.0, 0.11083339930559294)	(42.0, 0.2985716062926178)	(43.0, 0.7147623302156574)	(44.0, 2.5152395924044506)	(45.0, 9.554291401363484)	(46.0, 7.8691713506972)	(47.0, 20.427274063854956)	(48.0, 15.998461903845781)	(49.0, 7.335361509143853)	(50.0, 1.703215299532905)	(51.0, 2.6622634894424735)	(52.0, 4.458216939414799)	(53.0, 5.168455457413986)	(54.0, 7.661075988735726)	(55.0, 7.846552289614431)	(56.0, 3.325001979167716)	(57.0, 0.7622623584894822)	(58.0, 0.16285723979597308)	(59.0, 0.07238099546487699)	(60.0, 0.18547630087874706)	(61.0, 0.2555953902353468)	(62.0, 0.1538096153628635)	(63.0, 0.12214292984697993)	(64.0, 0.07916671378970921)	(65.0, 0.024880967191051463)	(66.0, 0.009047624433109623)	(67.0, 0.002261906108277406)	(68.0, 0.013571436649664433)	(69.0, 0.022619061082774058)	(70.0, 0.024880967191051463)	(71.0, 0.06107146492348994)	(72.0, 0.1357143664966443)	(73.0, 0.0452381221655481)	(74.0, 0.015833342757941838)	(75.0, 0.002261906108277406)	(76.0, 0.0)	(77.0, 0.002261906108277406)	(78.0, 0.002261906108277406)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.002261906108277406)	(84.0, 0.002261906108277406)	(85.0, 0.002261906108277406)	(86.0, 0.002261906108277406)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.003392859162416108)
