Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
SRR6443837_1	(19.0, 1.0)	(20.0, 3.0)	(21.0, 2.0)	(22.0, 20.0)	(23.0, 54.0)	(24.0, 67.0)	(25.0, 108.0)	(26.0, 130.0)	(27.0, 205.0)	(28.0, 288.0)	(29.0, 405.0)	(30.0, 496.0)	(31.0, 600.0)	(32.0, 708.0)	(33.0, 841.0)	(34.0, 1285.0)	(35.0, 1936.0)	(36.0, 3290.0)	(37.0, 2986.0)	(38.0, 3.0)			
SRR6443837_2	(16.0, 2.0)	(17.0, 9.0)	(18.0, 47.0)	(19.0, 54.0)	(20.0, 51.0)	(21.0, 87.0)	(22.0, 103.0)	(23.0, 133.0)	(24.0, 193.0)	(25.0, 288.0)	(26.0, 415.0)	(27.0, 570.0)	(28.0, 747.0)	(29.0, 938.0)	(30.0, 1226.0)	(31.0, 1467.0)	(32.0, 1791.0)	(33.0, 2050.0)	(34.0, 1811.0)	(35.0, 1178.0)	(36.0, 265.0)	(37.0, 3.0)	
SRR6443840_1	(20.0, 2.0)	(21.0, 8.0)	(22.0, 19.0)	(23.0, 38.0)	(24.0, 76.0)	(25.0, 117.0)	(26.0, 197.0)	(27.0, 272.0)	(28.0, 436.0)	(29.0, 620.0)	(30.0, 803.0)	(31.0, 1112.0)	(32.0, 1547.0)	(33.0, 2130.0)	(34.0, 3031.0)	(35.0, 4894.0)	(36.0, 7645.0)	(37.0, 4207.0)					
SRR6443840_2	(17.0, 8.0)	(18.0, 29.0)	(19.0, 58.0)	(20.0, 91.0)	(21.0, 112.0)	(22.0, 138.0)	(23.0, 213.0)	(24.0, 298.0)	(25.0, 428.0)	(26.0, 604.0)	(27.0, 908.0)	(28.0, 1167.0)	(29.0, 1649.0)	(30.0, 1994.0)	(31.0, 2729.0)	(32.0, 3522.0)	(33.0, 4211.0)	(34.0, 4534.0)	(35.0, 3486.0)	(36.0, 956.0)	(37.0, 19.0)		
SRR6443863_1	(20.0, 3.0)	(21.0, 7.0)	(22.0, 19.0)	(23.0, 48.0)	(24.0, 74.0)	(25.0, 125.0)	(26.0, 192.0)	(27.0, 283.0)	(28.0, 351.0)	(29.0, 526.0)	(30.0, 719.0)	(31.0, 956.0)	(32.0, 1213.0)	(33.0, 1746.0)	(34.0, 2371.0)	(35.0, 3662.0)	(36.0, 6152.0)	(37.0, 5358.0)	(38.0, 1.0)				
SRR6443863_2	(16.0, 1.0)	(17.0, 4.0)	(18.0, 32.0)	(19.0, 66.0)	(20.0, 66.0)	(21.0, 100.0)	(22.0, 132.0)	(23.0, 208.0)	(24.0, 298.0)	(25.0, 437.0)	(26.0, 551.0)	(27.0, 833.0)	(28.0, 1084.0)	(29.0, 1464.0)	(30.0, 1836.0)	(31.0, 2451.0)	(32.0, 3091.0)	(33.0, 3731.0)	(34.0, 3905.0)	(35.0, 2769.0)	(36.0, 731.0)	(37.0, 16.0)	
SRR6443869_1	(19.0, 2.0)	(20.0, 1.0)	(21.0, 5.0)	(22.0, 16.0)	(23.0, 48.0)	(24.0, 58.0)	(25.0, 117.0)	(26.0, 148.0)	(27.0, 229.0)	(28.0, 282.0)	(29.0, 378.0)	(30.0, 532.0)	(31.0, 691.0)	(32.0, 947.0)	(33.0, 1280.0)	(34.0, 1870.0)	(35.0, 2842.0)	(36.0, 5480.0)	(37.0, 11674.0)	(38.0, 226.0)			
SRR6443869_2	(16.0, 1.0)	(17.0, 9.0)	(18.0, 48.0)	(19.0, 61.0)	(20.0, 60.0)	(21.0, 67.0)	(22.0, 105.0)	(23.0, 173.0)	(24.0, 266.0)	(25.0, 336.0)	(26.0, 466.0)	(27.0, 676.0)	(28.0, 902.0)	(29.0, 1285.0)	(30.0, 1725.0)	(31.0, 2312.0)	(32.0, 3065.0)	(33.0, 3796.0)	(34.0, 4808.0)	(35.0, 4431.0)	(36.0, 2092.0)	(37.0, 142.0)	
SRR6443899_1	(20.0, 1.0)	(21.0, 11.0)	(22.0, 26.0)	(23.0, 64.0)	(24.0, 137.0)	(25.0, 191.0)	(26.0, 263.0)	(27.0, 404.0)	(28.0, 504.0)	(29.0, 699.0)	(30.0, 948.0)	(31.0, 1238.0)	(32.0, 1781.0)	(33.0, 2313.0)	(34.0, 3173.0)	(35.0, 4557.0)	(36.0, 7439.0)	(37.0, 6914.0)	(38.0, 9.0)				
SRR6443899_2	(17.0, 11.0)	(18.0, 69.0)	(19.0, 96.0)	(20.0, 109.0)	(21.0, 122.0)	(22.0, 210.0)	(23.0, 262.0)	(24.0, 378.0)	(25.0, 579.0)	(26.0, 855.0)	(27.0, 1236.0)	(28.0, 1589.0)	(29.0, 2106.0)	(30.0, 2675.0)	(31.0, 3480.0)	(32.0, 4001.0)	(33.0, 4552.0)	(34.0, 4506.0)	(35.0, 3030.0)	(36.0, 795.0)	(37.0, 11.0)		
