Sample	Unique Reads	Duplicate Reads
SRR6443837_1	698.0	12730.0
SRR6443837_2	1880.0	11548.0
SRR6443840_1	495.0	26659.0
SRR6443840_2	1697.0	25457.0
SRR6443863_1	768.0	23038.0
SRR6443863_2	2364.0	21442.0
SRR6443869_1	1255.0	25571.0
SRR6443869_2	2875.0	23951.0
SRR6443899_1	969.0	29703.0
SRR6443899_2	3206.0	27466.0
SRR6443902_1	1179.0	33025.0
SRR6443902_2	3405.0	30799.0
SRR6443914_1	542.0	18421.0
SRR6443914_2	2236.0	16727.0
SRR6443940_1	1961.0	91296.0
SRR6443940_2	7359.0	85898.0
SRR6443945_1	2187.0	70463.0
SRR6443945_2	10321.0	62329.0
SRR6443965_1	817.0	19734.0
SRR6443965_2	2583.0	17968.0
