Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR6443837_1	(1.0, 3.2394995531724757)	(2.0, 1.519213583556747)	(3.0, 0.8489722966934763)	(4.0, 0.8042895442359249)	(5.0, 0.7819481680071492)	(6.0, 0.49151027703306527)	(7.0, 0.3127792672028597)	(8.0, 0.17873100983020554)	(9.0, 0.40214477211796246)	('>10', 4.177837354781055)	('>50', 3.5895144474232947)	('>100', 13.866547512660112)	('>500', 22.192433720583853)	('>1k', 47.594578492701814)	('>5k', 0.0)	('>10k+', 0.0)
SRR6443837_2	(1.0, 10.79088471849866)	(2.0, 3.0086386654751265)	(3.0, 1.4298480786416443)	(4.0, 1.1021745606196007)	(5.0, 0.7074769139112302)	(6.0, 0.7596067917783735)	(7.0, 0.6776884122728627)	(8.0, 0.17873100983020554)	(9.0, 0.3351206434316354)	('>10', 7.864164432529044)	('>50', 2.2639261245159368)	('>100', 21.596663687816502)	('>500', 20.3157581173667)	('>1k', 28.96931784331248)	('>5k', 0.0)	('>10k+', 0.0)
SRR6443840_1	(1.0, 0.9280400677616558)	(2.0, 0.47875082860720336)	(3.0, 0.4971643220151727)	(4.0, 0.30934668925388525)	(5.0, 0.18413493407969359)	(6.0, 0.2209619208956323)	(7.0, 0.4124622523385137)	(8.0, 0.1178463578110039)	(9.0, 0.16572144067172423)	('>10', 4.2461515798777345)	('>50', 1.8487147381601239)	('>100', 0.6555203653237092)	('>500', 4.201959195698608)	('>1k', 11.000220961920895)	('>5k', 0.0)	('>10k+', 74.73300434558445)
SRR6443840_2	(1.0, 4.909037342564631)	(2.0, 0.9575016572144067)	(3.0, 0.6960300508212418)	(4.0, 0.36826986815938717)	(5.0, 0.29461589452750975)	(6.0, 0.287250497164322)	(7.0, 0.38668336156735655)	(8.0, 0.17676953671650586)	(9.0, 0.19886572880606906)	('>10', 5.896000589231789)	('>50', 1.7787434632098402)	('>100', 5.454076747440524)	('>500', 0.0)	('>1k', 11.920895632319363)	('>5k', 0.0)	('>10k+', 66.67525963025706)
SRR6443863_1	(1.0, 1.8734772746366462)	(2.0, 1.0921616399227085)	(3.0, 0.6048895236495001)	(4.0, 0.4368646559690834)	(5.0, 0.31504662690078133)	(6.0, 0.32764849197681256)	(7.0, 0.32344787028480215)	(8.0, 0.20162984121650007)	(9.0, 0.30244476182475005)	('>10', 3.82676636142149)	('>50', 1.1257666134587918)	('>100', 9.25396958749895)	('>500', 5.868268503738553)	('>1k', 22.889187599764764)	('>5k', 0.0)	('>10k+', 51.55843064773586)
SRR6443863_2	(1.0, 7.481307233470553)	(2.0, 1.8650760312526253)	(3.0, 1.3610014282113752)	(4.0, 1.0081492060825001)	(5.0, 0.8191212299420315)	(6.0, 0.5040746030412501)	(7.0, 0.5586826850373855)	(8.0, 0.2688397882886667)	(9.0, 0.4914727379652189)	('>10', 5.380996387465345)	('>50', 2.4867680416701674)	('>100', 9.438796941947409)	('>500', 16.71847433420146)	('>1k', 30.06384944971856)	('>5k', 21.55338990170545)	('>10k+', 0.0)
SRR6443869_1	(1.0, 2.743606948482815)	(2.0, 1.520912547528517)	(3.0, 1.1183180496533214)	(4.0, 0.7008126444494147)	(5.0, 0.46596585402221724)	(6.0, 0.5591590248266607)	(7.0, 0.41750540520390667)	(8.0, 0.1491090732871095)	(9.0, 0.4025944978751957)	('>10', 3.269216431819876)	('>50', 2.147170655334377)	('>100', 15.544620890181168)	('>500', 20.084992171773653)	('>1k', 28.98307612018191)	('>5k', 21.892939685379854)	('>10k+', 0.0)
SRR6443869_2	(1.0, 7.9512413330351155)	(2.0, 2.42302244091553)	(3.0, 1.308432118094386)	(4.0, 1.0437635130097667)	(5.0, 0.6523521956311041)	(6.0, 0.6486244687989264)	(7.0, 0.6001640199806159)	(8.0, 0.20875270260195333)	(9.0, 0.20129724893759784)	('>10', 5.695966599567584)	('>50', 4.9839707746216355)	('>100', 22.73167822261985)	('>500', 11.623052262730187)	('>1k', 39.92768209945575)	('>5k', 0.0)	('>10k+', 0.0)
SRR6443899_1	(1.0, 1.8714136671883148)	(2.0, 0.8802816901408451)	(3.0, 0.6064162754303599)	(4.0, 0.5346896191966615)	(5.0, 0.19561815336463223)	(6.0, 0.3325508607198748)	(7.0, 0.22822117892540428)	(8.0, 0.2608242044861763)	(9.0, 0.17605633802816903)	('>10', 4.492696922274387)	('>50', 1.7964267083985395)	('>100', 10.622065727699532)	('>500', 3.05490349504434)	('>1k', 17.996870109546165)	('>5k', 0.0)	('>10k+', 56.9509650495566)
SRR6443899_2	(1.0, 7.889932185706834)	(2.0, 1.949660928534168)	(3.0, 1.535602503912363)	(4.0, 1.069379238393323)	(5.0, 0.5705529473135107)	(6.0, 0.6064162754303599)	(7.0, 0.5933750652060511)	(8.0, 0.4694835680751174)	(9.0, 0.3814553990610329)	('>10', 5.0599895670318205)	('>50', 4.691575378195097)	('>100', 8.460485133020343)	('>500', 8.630020865936359)	('>1k', 35.03195096504956)	('>5k', 23.060119979134065)	('>10k+', 0.0)
SRR6443902_1	(1.0, 2.0757806104549177)	(2.0, 1.0583557478657466)	(3.0, 0.7542977429540404)	(4.0, 0.4560870073675593)	(5.0, 0.36545433282656997)	(6.0, 0.3332943515378318)	(7.0, 0.2046544263828792)	(8.0, 0.23389077300900477)	(9.0, 0.18418898374459128)	('>10', 3.7685650801075896)	('>50', 0.903403110747281)	('>100', 6.382294468483218)	('>500', 7.852882703777336)	('>1k', 32.70085370132148)	('>5k', 0.0)	('>10k+', 42.72599695941995)
SRR6443902_2	(1.0, 7.440650216348965)	(2.0, 2.029002455853117)	(3.0, 1.236697462285113)	(4.0, 0.9823412466378202)	(5.0, 0.6431996257747632)	(6.0, 0.7893813589053911)	(7.0, 0.4297742954040463)	(8.0, 0.46778154601800953)	(9.0, 0.44731610337972166)	('>10', 5.306396912641796)	('>50', 3.0201146064787743)	('>100', 6.470003508361595)	('>500', 5.376564144544497)	('>1k', 45.345573617120806)	('>5k', 20.015202900245583)	('>10k+', 0.0)
