Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
SRR6443837_1	(248, 7.0)	(249, 6.0)	(250, 82.0)	(251, 13333.0)																																								
SRR6443837_2	(245, 1.0)	(246, 4.0)	(247, 5.0)	(248, 57.0)	(249, 820.0)	(250, 9692.0)	(251, 2849.0)																																					
SRR6443840_1	(248, 1.0)	(249, 11.0)	(250, 213.0)	(251, 26929.0)																																								
SRR6443840_2	(245, 1.0)	(246, 3.0)	(247, 3.0)	(248, 85.0)	(249, 2072.0)	(250, 20845.0)	(251, 4145.0)																																					
SRR6443863_1	(248, 4.0)	(249, 13.0)	(250, 116.0)	(251, 23673.0)																																								
SRR6443863_2	(245, 2.0)	(246, 2.0)	(247, 1.0)	(248, 46.0)	(249, 1470.0)	(250, 18152.0)	(251, 4133.0)																																					
SRR6443869_1	(248, 6.0)	(249, 5.0)	(250, 80.0)	(251, 26735.0)																																								
SRR6443869_2	(247, 2.0)	(248, 20.0)	(249, 1223.0)	(250, 20137.0)	(251, 5444.0)																																							
SRR6443899_1	(248, 23.0)	(249, 12.0)	(250, 175.0)	(251, 30462.0)																																								
SRR6443899_2	(239, 1.0)	(240, 0.0)	(241, 0.0)	(242, 0.0)	(243, 0.0)	(244, 0.0)	(245, 3.0)	(246, 4.0)	(247, 12.0)	(248, 66.0)	(249, 1811.0)	(250, 23481.0)	(251, 5294.0)																															
SRR6443902_1	(248, 6.0)	(249, 15.0)	(250, 188.0)	(251, 33995.0)																																								
SRR6443902_2	(245, 1.0)	(246, 8.0)	(247, 6.0)	(248, 71.0)	(249, 1864.0)	(250, 27003.0)	(251, 5251.0)																																					
SRR6443914_1	(248, 1.0)	(249, 4.0)	(250, 75.0)	(251, 18883.0)																																								
SRR6443914_2	(245, 1.0)	(246, 0.0)	(247, 5.0)	(248, 23.0)	(249, 1025.0)	(250, 15488.0)	(251, 2421.0)																																					
SRR6443940_1	(248, 9.0)	(249, 40.0)	(250, 573.0)	(251, 92635.0)																																								
SRR6443940_2	(208, 1.0)	(209, 0.0)	(210, 0.0)	(211, 0.0)	(212, 0.0)	(213, 0.0)	(214, 0.0)	(215, 0.0)	(216, 0.0)	(217, 0.0)	(218, 0.0)	(219, 0.0)	(220, 0.0)	(221, 0.0)	(222, 0.0)	(223, 0.0)	(224, 0.0)	(225, 0.0)	(226, 0.0)	(227, 0.0)	(228, 0.0)	(229, 0.0)	(230, 0.0)	(231, 0.0)	(232, 0.0)	(233, 0.0)	(234, 0.0)	(235, 0.0)	(236, 0.0)	(237, 0.0)	(238, 0.0)	(239, 0.0)	(240, 0.0)	(241, 0.0)	(242, 0.0)	(243, 0.0)	(244, 0.0)	(245, 11.0)	(246, 12.0)	(247, 27.0)	(248, 310.0)	(249, 8186.0)	(250, 67693.0)	(251, 17017.0)
SRR6443945_1	(248, 34.0)	(249, 22.0)	(250, 404.0)	(251, 72190.0)																																								
SRR6443945_2	(245, 20.0)	(246, 22.0)	(247, 51.0)	(248, 640.0)	(249, 5992.0)	(250, 49835.0)	(251, 16090.0)																																					
SRR6443965_1	(248, 4.0)	(249, 7.0)	(250, 135.0)	(251, 20405.0)																																								
SRR6443965_2	(245, 2.0)	(246, 5.0)	(247, 8.0)	(248, 162.0)	(249, 1088.0)	(250, 15888.0)	(251, 3398.0)																																					
