Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR6443837_1	94.80190646410486	49.0	250.99143580577896	251	40.0	0.013427999999999999
SRR6443837_2	85.99940422996724	50.0	250.13993148644624	250	50.0	0.013427999999999999
SRR6443840_1	98.17706415261104	48.0	250.9912351771378	251	40.0	0.027153999999999998
SRR6443840_2	93.7504603373352	48.0	250.06912425425352	250	50.0	0.027153999999999998
SRR6443863_1	96.773922540536	49.0	250.9935310425943	251	40.0	0.023805999999999997
SRR6443863_2	90.06973032008737	49.0	250.10711585314627	250	50.0	0.023805999999999997
SRR6443869_1	95.32170282561694	51.0	250.99597405502124	251	40.0	0.026826
SRR6443869_2	89.282785357489	52.0	250.15563259524342	250	50.0	0.026826
SRR6443899_1	96.84402712571726	49.0	250.9912623891497	251	40.0	0.030671999999999998
SRR6443899_2	89.54747000521648	49.0	250.1067097026604	250	50.0	0.030671999999999998
SRR6443902_1	96.55303473277979	50.0	250.99310022219623	251	40.0	0.034204
SRR6443902_2	90.04502397380423	50.0	250.09326394573733	250	50.0	0.034204
SRR6443914_1	97.14180245741707	47.0	250.9954648526077	251	40.0	0.018963
SRR6443914_2	88.20861678004535	48.0	250.0701365817645	250	50.0	0.018963
SRR6443940_1	97.89720878861641	49.0	250.99270832216348	251	40.0	0.09325699999999999
SRR6443940_2	92.10890335309949	49.0	250.08562359930085	250	50.0	0.09325699999999999
SRR6443945_1	96.98967653131452	50.0	250.99242945629732	251	40.0	0.07264999999999999
SRR6443945_2	85.79353062629043	51.0	250.11668272539572	250	50.0	0.07264999999999999
SRR6443965_1	96.02452435404604	50.0	250.9921658313464	251	40.0	0.020551
SRR6443965_2	87.43126855140869	50.0	250.0940100238431	250	50.0	0.020551
