Module	Section	Sample Name	Source
FastQC	all_sections	SRR6443837_1	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443837_1_fastqc.zip
FastQC	all_sections	SRR6443837_2	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443837_2_fastqc.zip
FastQC	all_sections	SRR6443840_1	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443840_1_fastqc.zip
FastQC	all_sections	SRR6443840_2	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443840_2_fastqc.zip
FastQC	all_sections	SRR6443863_1	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443863_1_fastqc.zip
FastQC	all_sections	SRR6443863_2	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443863_2_fastqc.zip
FastQC	all_sections	SRR6443869_1	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443869_1_fastqc.zip
FastQC	all_sections	SRR6443869_2	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443869_2_fastqc.zip
FastQC	all_sections	SRR6443899_1	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443899_1_fastqc.zip
FastQC	all_sections	SRR6443899_2	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443899_2_fastqc.zip
FastQC	all_sections	SRR6443902_1	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443902_1_fastqc.zip
FastQC	all_sections	SRR6443902_2	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443902_2_fastqc.zip
FastQC	all_sections	SRR6443914_1	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443914_1_fastqc.zip
FastQC	all_sections	SRR6443914_2	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443914_2_fastqc.zip
FastQC	all_sections	SRR6443940_1	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443940_1_fastqc.zip
FastQC	all_sections	SRR6443940_2	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443940_2_fastqc.zip
FastQC	all_sections	SRR6443945_1	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443945_1_fastqc.zip
FastQC	all_sections	SRR6443945_2	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443945_2_fastqc.zip
FastQC	all_sections	SRR6443965_1	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443965_1_fastqc.zip
FastQC	all_sections	SRR6443965_2	/mnt/c/Users/oluwa/Desktop/MayTech/OgunBiome/results/fastqc/SRR6443965_2_fastqc.zip
