Genus,Mean Responder (%),Mean Non-Responder (%),Difference,pvalue,adjusted_pvalue
Acidaminococcus,0.0,0.3718,-0.3718,0.2732423801103462,0.861801956457389
Actinomyces,0.0028,0.0,0.0028,0.27630291733748347,0.861801956457389
Agathobacter,3.5078,1.7707,1.7371,0.11033192931409323,0.861801956457389
Allisonella,0.0059,0.0,0.0059,0.27630291733748347,0.861801956457389
Bilophila,0.1122,0.351,-0.2387,0.021439629194862978,0.861801956457389
Anaerostipes,1.3062,0.9338,0.3724,0.2721278721278721,0.861801956457389
Campylobacter,0.0078,0.0,0.0078,0.09040969281158645,0.861801956457389
CAG-352,0.0,0.7479,-0.7479,0.2732423801103462,0.861801956457389
Catenibacterium,0.0,0.055,-0.055,0.2732423801103462,0.861801956457389
Chloroplast,0.009,0.0,0.009,0.27630291733748347,0.861801956457389
Collinsella,0.5633,0.268,0.2952,0.173781070118891,0.861801956457389
Intestinimonas,0.0524,0.1693,-0.1169,0.13715458861798455,0.861801956457389
Incertae_Sedis,0.149,0.4232,-0.2742,0.09865877406982586,0.861801956457389
Eubacterium,0.0074,0.0,0.0074,0.09040969281158645,0.861801956457389
Faecalibacterium,10.0768,7.4399,2.6369,0.181018981018981,0.861801956457389
Escherichia-Shigella,0.0496,0.1551,-0.1054,0.13356999460203647,0.861801956457389
Frisingicoccus,0.0281,0.0,0.0281,0.27630291733748347,0.861801956457389
Fusobacterium,0.0103,0.0,0.0103,0.27630291733748347,0.861801956457389
Intestinibacter,0.1227,0.0599,0.0628,0.07165923399755957,0.861801956457389
Gordonibacter,0.0016,0.0,0.0016,0.27630291733748347,0.861801956457389
Holdemanella,0.0,0.5636,-0.5636,0.2732423801103462,0.861801956457389
Hungatella,0.0162,0.0,0.0162,0.09040969281158645,0.861801956457389
Prevotella,0.0051,0.0,0.0051,0.27630291733748347,0.861801956457389
Peptococcus,0.0204,0.0024,0.0179,0.2734595057810475,0.861801956457389
Paraprevotella,0.4218,0.0,0.4218,0.27630291733748347,0.861801956457389
Oscillibacter,0.3869,0.2666,0.1203,0.22377622377622375,0.861801956457389
Murdochiella,0.0018,0.0,0.0018,0.27630291733748347,0.861801956457389
Mitochondria,0.0012,0.0,0.0012,0.27630291733748347,0.861801956457389
Leuconostoc,0.0024,0.0,0.0024,0.27630291733748347,0.861801956457389
Merdibacter,0.0029,0.0,0.0029,0.27630291733748347,0.861801956457389
Lactobacillus,0.0023,0.0,0.0023,0.27630291733748347,0.861801956457389
Lachnoclostridium,0.3423,0.3288,0.0136,0.22377622377622375,0.861801956457389
RF39,0.0,0.144,-0.144,0.1521170304557875,0.861801956457389
Sellimonas,0.0855,0.0,0.0855,0.09040969281158645,0.861801956457389
Terrisporobacter,0.0,0.0405,-0.0405,0.2732423801103462,0.861801956457389
Succiniclasticum,0.6053,0.0,0.6053,0.27630291733748347,0.861801956457389
Phocea,0.0062,0.0,0.0062,0.27630291733748347,0.861801956457389
Porphyromonas,0.0008,0.0,0.0008,0.27630291733748347,0.861801956457389
UCG-010,0.0047,0.1488,-0.1442,0.26161382230735397,0.861801956457389
UCG-003,0.1885,0.4678,-0.2792,0.08634939192233317,0.861801956457389
Turicibacter,0.006,0.0427,-0.0367,0.26161382230735397,0.861801956457389
[Eubacterium]_siraeum_group,0.5181,0.0526,0.4655,0.02977523972793627,0.861801956457389
Varibaculum,0.0,0.0027,-0.0027,0.49624247444426295,0.8905173171534033
Weissella,0.0,0.0226,-0.0226,0.49624247444426295,0.8905173171534033
Victivallis,0.0,0.0064,-0.0064,0.49624247444426295,0.8905173171534033
[Eubacterium]_brachy_group,0.0,0.0018,-0.0018,0.49624247444426295,0.8905173171534033
Prevotella_9,0.0621,4.5234,-4.4613,0.4961158231244537,0.8905173171534033
Parasutterella,1.3039,0.881,0.4229,0.3750480971201636,0.8905173171534033
Izemoplasmatales,0.0,0.0085,-0.0085,0.49624247444426295,0.8905173171534033
Gastranaerophilales,0.0,0.097,-0.097,0.49624247444426295,0.8905173171534033
Fournierella,0.0,0.0075,-0.0075,0.49624247444426295,0.8905173171534033
Fenollaria,0.0,0.0043,-0.0043,0.49624247444426295,0.8905173171534033
Oxalobacter,0.0,0.0089,-0.0089,0.49624247444426295,0.8905173171534033
Muribaculaceae,0.0,0.0593,-0.0593,0.49624247444426295,0.8905173171534033
Desulfovibrio,0.0097,0.0963,-0.0867,0.4054871562671196,0.8905173171534033
Erysipelatoclostridium,0.0315,0.0154,0.0161,0.406042136136457,0.8905173171534033
Clostridium_sensu_stricto_1,0.0051,0.1059,-0.1008,0.3874774620263297,0.8905173171534033
Defluviitaleaceae_UCG-011,0.0,0.0146,-0.0146,0.49624247444426295,0.8905173171534033
Enterorhabdus,0.0,0.0038,-0.0038,0.49624247444426295,0.8905173171534033
Candidatus_Stoquefichus,0.0,0.0049,-0.0049,0.49624247444426295,0.8905173171534033
Blautia,4.2823,2.8593,1.423,0.3276723276723276,0.8905173171534033
Bifidobacterium,1.2902,1.0905,0.1997,0.4353383976171995,0.8905173171534033
Adlercreutzia,0.0242,0.0142,0.01,0.4483508883573052,0.8905173171534033
Anaerofilum,0.0,0.0014,-0.0014,0.49624247444426295,0.8905173171534033
Senegalimassilia,0.0,0.0273,-0.0273,0.49624247444426295,0.8905173171534033
Staphylococcus,0.0,0.0038,-0.0038,0.49624247444426295,0.8905173171534033
Ruminococcus,2.9651,1.6277,1.3374,0.31603931310049005,0.8905173171534033
Methanobrevibacter,0.0,0.0009,-0.0009,0.49624247444426295,0.8905173171534033
Monoglobus,0.2221,0.2987,-0.0766,0.3724558699813696,0.8905173171534033
Ligilactobacillus,0.0,0.0421,-0.0421,0.49624247444426295,0.8905173171534033
Lachnospiraceae_UCG-010,0.0492,0.0893,-0.04,0.3008618029033998,0.8905173171534033
[Ruminococcus]_torques_group,0.6897,0.3915,0.2982,0.479107370150633,0.8905173171534033
vadinBE97,0.0,0.0092,-0.0092,0.49624247444426295,0.8905173171534033
Butyricicoccus,0.207,0.3445,-0.1375,0.5153637324829679,0.9123330939901186
Holdemania,0.0087,0.0055,0.0032,0.5496444288991635,0.9447932517746723
Dialister,0.5183,0.9384,-0.4201,0.5428024537573732,0.9447932517746723
[Eubacterium]_hallii_group,0.794,0.5549,0.2391,0.5553364915011433,0.9447932517746723
Coprococcus,0.6913,0.8511,-0.1598,0.5945637092564708,0.9768527860663222
[Eubacterium]_ventriosum_group,0.0458,0.0852,-0.0395,0.5891544654500582,0.9768527860663222
Eisenbergiella,0.0218,0.0105,0.0113,0.5965513197351586,0.9768527860663222
Lachnospiraceae_UCG-004,1.3574,0.8365,0.5209,0.606993006993007,0.9816800483467149
Clostridia_UCG-014,0.5773,0.2136,0.3636,0.9440650714906005,1.0
Butyricimonas,0.1026,0.0504,0.0521,1.0,1.0
Akkermansia,0.3493,2.3062,-1.9569,1.0,1.0
Alistipes,4.3773,4.4442,-0.0669,1.0,1.0
Barnesiella,0.5866,0.3895,0.1971,0.7053423141486048,1.0
CAG-56,0.3135,0.539,-0.2255,0.6744503828211919,1.0
Family_XIII_UCG-001,0.006,0.0094,-0.0033,0.866204416086844,1.0
Enterococcus,0.0132,0.007,0.0062,0.7650871933583798,1.0
Eggerthella,0.0045,0.0028,0.0017,0.7650871933583798,1.0
Dielma,0.0012,0.006,-0.0048,0.9206600009934166,1.0
Christensenellaceae_R-7_group,0.6917,0.7373,-0.0456,0.7982172482487114,1.0
Colidextribacter,0.1338,0.1931,-0.0594,0.7680769648584522,1.0
Clostridia_vadinBB60_group,0.0357,0.4058,-0.3701,1.0,1.0
Bacteroides,43.0825,42.6301,0.4524,1.0,1.0
Family_XIII_AD3011_group,0.0327,0.1072,-0.0746,0.6744503828211919,1.0
Fusicatenibacter,1.7088,1.3566,0.3522,0.7674700894710456,1.0
Flavonifractor,0.1003,0.0996,0.0007,1.0,1.0
GCA-900066575,0.0113,0.0094,0.0019,1.0,1.0
Dorea,1.1427,1.0556,0.0872,1.0,1.0
Erysipelotrichaceae_UCG-003,0.1963,0.5143,-0.318,0.9053405761233371,1.0
Faecalitalea,0.045,0.0347,0.0103,0.7053423141486048,1.0
NK4A214_group,0.2043,0.2908,-0.0865,0.9521501723873973,1.0
Phascolarctobacterium,0.6763,0.6889,-0.0126,0.946998066201394,1.0
Lactococcus,0.0028,0.0054,-0.0026,0.9206600009934166,1.0
Lachnospira,0.7137,0.9437,-0.23,0.8591852195945746,1.0
Lachnospiraceae_NK4A136_group,0.156,0.332,-0.176,0.7234366954165334,1.0
Parabacteroides,1.3877,1.5254,-0.1377,0.8595596479067151,1.0
Odoribacter,0.9517,0.5936,0.358,0.7641509989651905,1.0
Negativibacillus,0.0256,0.0176,0.008,0.9440650714906005,1.0
Lachnospiraceae_ND3007_group,0.156,0.1751,-0.019,0.6744503828211919,1.0
Megasphaera,0.0574,0.0124,0.045,0.7650871933583798,1.0
Parvimonas,0.0012,0.0015,-0.0003,0.9206600009934166,1.0
UBA1819,0.0349,0.0283,0.0067,1.0,1.0
Tyzzerella,0.0062,0.0105,-0.0043,0.7361446382324417,1.0
Sutterella,0.8123,1.1316,-0.3193,0.739598552509219,1.0
Subdoligranulum,1.8772,2.0991,-0.2219,0.8639360639360639,1.0
Romboutsia,0.185,0.257,-0.072,0.8120087952257874,1.0
Roseburia,0.4333,0.6227,-0.1894,1.0,1.0
Streptococcus,0.4102,1.0692,-0.6589,0.9528428708163653,1.0
UCG-002,1.8715,1.6759,0.1956,0.67890337645961,1.0
Veillonella,0.1653,0.122,0.0433,1.0,1.0
UCG-005,0.1417,0.567,-0.4253,0.6637141413795251,1.0
UCG-009,0.0081,0.0081,-0.0,0.9206600009934166,1.0
[Eubacterium]_eligens_group,1.1296,0.358,0.7716,0.8521789268968154,1.0
[Eubacterium]_coprostanoligenes_group,0.3887,0.4035,-0.0148,0.7609067270751141,1.0
Coprobacter,0.0147,0.0297,-0.0149,0.9206600009934166,1.0
Conservatibacter,1.2253,0.2869,0.9385,0.9514722492227051,1.0
[Ruminococcus]_gnavus_group,0.0441,0.2737,-0.2296,0.7013620474688375,1.0
[Eubacterium]_xylanophilum_group,0.1413,0.1812,-0.0398,0.8419256061188097,1.0
uncultured,0.0548,0.4273,-0.3725,0.9504728449836777,1.0
