Genus,mean_before,mean_during,fold_change,pvalue,adjusted_pvalue,log2_fc,neg_log10_p
Anaerostipes,1.0244,2.2453,2.191,0.0009182818799141572,0.13682400010720944,1.1315894843281353,3.0370239853562415
Alistipes,4.4125,2.6862,0.609,0.00795229380300989,0.30471119555771636,-0.7154858667557547,2.099507583003493
Bifidobacterium,0.9938,1.7241,1.734,0.023999149663337077,0.30471119555771636,0.794103898559748,1.6198041459160122
CAG-56,0.3132,0.1842,0.59,0.018566712279734197,0.30471119555771636,-0.7612131404128835,1.7312649926080952
Faecalibacterium,9.0571,10.9799,1.212,0.011500916397185087,0.30471119555771636,0.27738969881086384,1.9392675535260013
Odoribacter,0.5408,0.3152,0.584,0.02454049897109125,0.30471119555771636,-0.77595972578207,1.610116611201985
Lachnospiraceae_NK4A136_group,0.3979,0.2385,0.6,0.018554892252216022,0.30471119555771636,-0.7369655941662062,1.7315415632448066
Intestinibacter,0.1217,0.0395,0.33,0.005142157370610374,0.30471119555771636,-1.5994620704162712,2.2888546363392357
Roseburia,0.8408,0.4938,0.588,0.01099986332396481,0.30471119555771636,-0.7661119398257227,1.9586127110251073
[Eubacterium]_xylanophilum_group,0.2479,0.148,0.599,0.02079521585359911,0.30471119555771636,-0.7393720918733014,1.6820365673144138
[Ruminococcus]_torques_group,0.4284,0.3848,0.899,0.024047926156015694,0.30471119555771636,-0.15360697914763968,1.6189223703435005
[Ruminococcus]_gnavus_group,0.2004,0.1351,0.676,0.021943664659377984,0.30471119555771636,-0.5649048483799026,1.6586908421923756
Faecalitalea,0.0255,0.0043,0.201,0.046399461870904594,0.36386946414551496,-2.3147325934831584,1.3334870562522725
Christensenellaceae_R-7_group,0.4962,0.2281,0.461,0.038607051842430073,0.36386946414551496,-1.117161344232749,1.4133333612210601
Lachnospiraceae_ND3007_group,0.1802,0.2694,1.492,0.0442084385246971,0.36386946414551496,0.5772475355931507,1.3544948244310124
Ruminococcus,3.2624,2.3703,0.727,0.03212457120765663,0.36386946414551496,-0.45997273074249273,1.4931626604977364
UCG-009,0.0072,0.0,0.122,0.043114446783075355,0.36386946414551496,-3.0350469470992008,1.3653771821158018
Bilophila,0.2499,0.1603,0.643,0.04586457721958269,0.36386946414551496,-0.6371093573341396,1.338522605471517
Eisenbergiella,0.0104,0.002,0.259,0.043114446783075355,0.36386946414551496,-1.9489759969755331,1.3653771821158018
Clostridia_vadinBB60_group,0.2008,0.139,0.694,0.05046060861109359,0.37593153415264724,-0.5269924320838263,1.2970475157121106
[Eubacterium]_eligens_group,0.5052,0.1887,0.375,0.06150392570318533,0.43638499665593405,-1.415037499278844,1.211097162975496
Oscillibacter,0.2871,0.2039,0.711,0.06531098743285503,0.4423335057952454,-0.49207853504267185,1.1850137501176938
Catenibacterium,0.0276,0.0861,3.045,0.10880943004054568,0.45035014100114734,1.6064422281316078,0.9633334645909447
Coprococcus,0.7834,0.5164,0.66,0.10050558691972779,0.45035014100114734,-0.5994620704162712,0.9978097959452963
Lactobacillus,0.0055,0.0117,1.959,0.10880943004054568,0.45035014100114734,0.9701173976055,0.9633334645909447
Dorea,0.9877,0.7757,0.786,0.10138633324386155,0.45035014100114734,-0.34739878240348054,0.9940205834326695
Gastranaerophilales,0.1407,0.0447,0.323,0.10880943004054568,0.45035014100114734,-1.630393929968162,0.9633334645909447
Lacticaseibacillus,0.0018,0.0062,2.539,0.10880943004054568,0.45035014100114734,1.3442603949854188,0.9633334645909447
UCG-002,1.1892,0.6888,0.58,0.0792146188362769,0.45035014100114734,-0.7858751946471527,1.101194663182516
Sellimonas,0.0308,0.012,0.409,0.07961580146011343,0.45035014100114734,-1.2898272517203384,1.0990007286708172
Prevotella_7,0.6402,0.9355,1.461,0.10880943004054568,0.45035014100114734,0.5469561781414114,0.9633334645909447
Oxalobacter,0.0081,0.002,0.327,0.10880943004054568,0.45035014100114734,-1.6126374591640045,0.9633334645909447
Coprobacter,0.0244,0.0465,1.874,0.10880943004054568,0.45035014100114734,0.9061209529970998,0.9633334645909447
Colidextribacter,0.1619,0.1129,0.699,0.08135857180414459,0.45035014100114734,-0.5166356392866507,1.0895966837704538
Acidaminococcus,0.2072,0.5021,2.417,0.07961580146011343,0.45035014100114734,1.2732174731034955,1.0990007286708172
Frisingicoccus,0.0117,0.0,0.078,0.10880943004054568,0.45035014100114734,-3.6803820657998387,0.9633334645909447
Erysipelotrichaceae_UCG-003,0.4936,0.3001,0.609,0.1230448277690691,0.49550484696192687,-0.7154858667557547,0.909936637292858
Muribaculaceae,0.1653,0.2504,1.512,0.17971249487899976,0.5052294667353012,0.5964581395589856,0.7454217266286194
NK4A214_group,0.2127,0.2085,0.98,0.1625717591562893,0.5052294667353012,-0.029146345659516508,0.7889548948293311
Lachnoclostridium,0.3334,0.2558,0.768,0.14815247058868408,0.5052294667353012,-0.38082178394093086,0.829291101834378
Agathobacter,3.3819,4.0518,1.198,0.17024139590961385,0.5052294667353012,0.26062790812669856,0.7689348283338412
Eubacterium,0.0016,0.0009,0.713,0.17971249487899976,0.5052294667353012,-0.488026018218199,0.7454217266286194
Butyricicoccus,0.2795,0.183,0.656,0.13613677630087,0.5052294667353012,-0.6082322800440033,0.8660245376400413
Enterorhabdus,0.0033,0.0,0.233,0.17971249487899976,0.5052294667353012,-2.1015981400078068,0.7454217266286194
Fusobacterium,0.0028,0.0,0.267,0.17971249487899976,0.5052294667353012,-1.905088352974533,0.7454217266286194
Gordonibacter,0.0004,0.0007,1.228,0.17971249487899976,0.5052294667353012,0.2963105607080923,0.7454217266286194
