# Constructed from biom file
#OTU ID	U307-before	U307-during	U310-before	U310-during	U311-before	U311-during	U312-before	U312-during	U313-before	U313-during	U315-before	U315-during	U316-before	U316-during	U317-before	U317-during	U318-before	U318-during	U322-before	U322-during	U323-before	U323-during	U325-before	U325-during	U326-before	U326-during	U327-before	U327-during	U328-before	U328-during	U329-before	U329-during	U331-before	U331-during	U332-before	U332-during	U333-before	U333-during	U334-before	U334-during	U335-before	U335-during	U336-before	U336-during	U338-before	U338-during	U339-before	U339-during	U341-before	U341-during	U343-before	U343-during	U344-before	U344-during
99deb3c5ecb022ec05609ebd1112a557	5074.0	4665.0	683.0	645.0	0.0	0.0	3306.0	5477.0	0.0	0.0	969.0	2646.0	2488.0	641.0	2000.0	5268.0	683.0	1876.0	2207.0	2792.0	1991.0	516.0	0.0	0.0	3819.0	9281.0	0.0	0.0	0.0	0.0	0.0	0.0	5330.0	7096.0	3073.0	2781.0	5269.0	2699.0	0.0	0.0	3154.0	6424.0	3939.0	5827.0	1486.0	1352.0	0.0	0.0	2821.0	2250.0	344.0	109.0	19258.0	11572.0
fd44d4cb468fd7dc9b3227867714ed87	0.0	0.0	0.0	0.0	2958.0	3220.0	2451.0	543.0	1451.0	4933.0	6135.0	2995.0	0.0	0.0	0.0	0.0	174.0	0.0	0.0	0.0	0.0	0.0	826.0	2230.0	0.0	0.0	4232.0	10129.0	37469.0	19707.0	2099.0	1342.0	0.0	0.0	0.0	0.0	0.0	0.0	3482.0	1892.0	0.0	0.0	0.0	0.0	490.0	658.0	4629.0	5525.0	0.0	0.0	0.0	0.0	0.0	0.0
f5f5e0da89730462abaf6301a9557193	960.0	681.0	610.0	565.0	1141.0	3450.0	400.0	884.0	310.0	422.0	970.0	2922.0	1898.0	494.0	1914.0	4489.0	484.0	461.0	716.0	1290.0	973.0	1003.0	809.0	1169.0	1820.0	3242.0	688.0	2851.0	7173.0	2340.0	690.0	331.0	1325.0	1668.0	3750.0	1727.0	0.0	0.0	1931.0	1070.0	409.0	2044.0	315.0	905.0	309.0	739.0	554.0	0.0	455.0	1638.0	1371.0	145.0	4594.0	1714.0
d900eb33f6b4bc449aab64df16ae18b2	1506.0	804.0	104.0	65.0	988.0	1241.0	0.0	0.0	147.0	331.0	0.0	25.0	0.0	0.0	2038.0	4357.0	0.0	0.0	533.0	1260.0	0.0	0.0	0.0	0.0	4447.0	7760.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	3751.0	3064.0	0.0	0.0	0.0	0.0	0.0	0.0	779.0	1835.0	4942.0	7074.0	0.0	0.0	0.0	12.0	0.0	5.0
263e41ea2c25dc87bd2ff5910cf30d40	283.0	350.0	369.0	257.0	1347.0	2582.0	0.0	1035.0	653.0	411.0	801.0	2058.0	1650.0	1896.0	734.0	821.0	304.0	353.0	0.0	0.0	449.0	729.0	489.0	585.0	786.0	2008.0	452.0	2430.0	0.0	0.0	0.0	462.0	321.0	1087.0	848.0	1166.0	285.0	0.0	1796.0	810.0	791.0	1145.0	197.0	628.0	130.0	121.0	0.0	0.0	0.0	0.0	149.0	72.0	657.0	80.0
59777186ad2e0947e97615b5d6225136	1902.0	2448.0	817.0	955.0	314.0	317.0	709.0	224.0	497.0	140.0	576.0	2182.0	1435.0	1399.0	438.0	1620.0	1729.0	2010.0	792.0	854.0	1173.0	1036.0	536.0	2300.0	0.0	0.0	187.0	158.0	0.0	0.0	0.0	0.0	230.0	245.0	57.0	74.0	0.0	0.0	1463.0	953.0	90.0	182.0	0.0	0.0	212.0	822.0	0.0	0.0	199.0	635.0	83.0	46.0	164.0	764.0
1b8dec58597978264025b9eba656ffb5	1041.0	1042.0	37.0	0.0	130.0	136.0	3044.0	2385.0	518.0	1068.0	113.0	347.0	0.0	0.0	46.0	947.0	0.0	0.0	0.0	0.0	250.0	236.0	106.0	175.0	0.0	0.0	111.0	473.0	0.0	9.0	275.0	107.0	831.0	1191.0	286.0	262.0	2088.0	864.0	467.0	206.0	1609.0	3045.0	164.0	325.0	253.0	496.0	0.0	0.0	165.0	0.0	0.0	0.0	7121.0	0.0
6616dc3bd6aeb3e26b9b2218290ea574	0.0	0.0	70.0	156.0	1772.0	961.0	0.0	0.0	3895.0	2314.0	2100.0	837.0	0.0	0.0	0.0	0.0	848.0	929.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2083.0	1489.0	0.0	0.0	0.0	0.0	1657.0	558.0	0.0	0.0	4576.0	3953.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
332a6411ff00b4010ac2397f504c4695	871.0	401.0	175.0	205.0	354.0	876.0	0.0	0.0	428.0	350.0	0.0	0.0	0.0	0.0	427.0	1102.0	494.0	777.0	278.0	811.0	788.0	340.0	61.0	110.0	0.0	0.0	1007.0	1816.0	6545.0	0.0	367.0	161.0	1101.0	1241.0	8.0	0.0	0.0	0.0	1104.0	301.0	399.0	898.0	371.0	499.0	497.0	461.0	1152.0	19.0	0.0	0.0	1028.0	172.0	0.0	0.0
b15193fce14759d1c06728933e044af6	2230.0	1842.0	102.0	85.0	481.0	648.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	211.0	1690.0	273.0	600.0	736.0	1239.0	0.0	0.0	0.0	0.0	674.0	1835.0	0.0	0.0	0.0	0.0	540.0	128.0	485.0	701.0	918.0	600.0	0.0	0.0	2444.0	1042.0	604.0	1125.0	1160.0	2360.0	0.0	0.0	106.0	0.0	0.0	0.0	105.0	0.0	178.0	0.0
76b39e86c95e0c7dd8b9c57b974f6532	660.0	675.0	0.0	0.0	93.0	77.0	693.0	551.0	0.0	0.0	953.0	2186.0	0.0	0.0	0.0	492.0	138.0	225.0	0.0	0.0	56.0	48.0	0.0	47.0	0.0	0.0	515.0	3233.0	0.0	0.0	0.0	0.0	1357.0	1582.0	0.0	0.0	506.0	220.0	596.0	219.0	0.0	0.0	111.0	192.0	0.0	0.0	5636.0	933.0	443.0	287.0	0.0	0.0	1276.0	220.0
333bbf9224442fc10cd497377d2b1d01	0.0	0.0	0.0	0.0	0.0	0.0	2625.0	2161.0	240.0	544.0	149.0	73.0	616.0	65.0	0.0	0.0	474.0	739.0	0.0	0.0	141.0	733.0	202.0	255.0	0.0	0.0	1569.0	3002.0	0.0	0.0	1661.0	270.0	232.0	267.0	288.0	169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	705.0	2837.0	397.0	0.0	0.0	99.0	56.0	2580.0	0.0
d76d59ec71de0e3b22da0c9cd564d41a	407.0	353.0	50.0	79.0	129.0	912.0	537.0	338.0	70.0	155.0	333.0	1103.0	248.0	263.0	385.0	1059.0	337.0	108.0	171.0	231.0	412.0	724.0	196.0	243.0	564.0	134.0	447.0	1078.0	0.0	0.0	0.0	0.0	143.0	340.0	954.0	182.0	54.0	26.0	914.0	563.0	63.0	88.0	0.0	56.0	68.0	87.0	0.0	0.0	85.0	63.0	702.0	208.0	2502.0	1068.0
df37b62e507e32409df4885c1ad2ce14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5588.0	6150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3193.0	3405.0	0.0	0.0	0.0	0.0
33518e48b174ac428cb7be1a216c6c6e	260.0	1459.0	117.0	166.0	152.0	1040.0	36.0	408.0	203.0	496.0	246.0	1776.0	378.0	515.0	269.0	1204.0	339.0	198.0	99.0	683.0	253.0	801.0	241.0	546.0	529.0	279.0	0.0	663.0	0.0	0.0	222.0	238.0	148.0	518.0	552.0	239.0	0.0	0.0	757.0	472.0	68.0	162.0	34.0	210.0	0.0	66.0	80.0	93.0	60.0	141.0	163.0	71.0	261.0	142.0
d9eea834805833ac21a86fdabedd8556	1587.0	937.0	0.0	0.0	247.0	1648.0	48.0	62.0	0.0	0.0	302.0	486.0	2024.0	944.0	108.0	101.0	514.0	525.0	293.0	120.0	1100.0	696.0	1313.0	1670.0	0.0	0.0	364.0	52.0	154.0	0.0	0.0	206.0	55.0	585.0	781.0	193.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	14.0	34.0	6.0	633.0	88.0
47c305878bfc73bfeda34b2ae1a82ee1	5.0	0.0	72.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1767.0	2622.0	0.0	0.0	6201.0	7145.0	5.0	0.0	0.0	0.0
