sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
U307-before	54013	46100	85.35	45492	42265	78.25	40154	74.34
U307-during	43039	38908	90.4	38394	36584	85	35024	81.38
U310-before	20938	17741	84.73	17513	16717	79.84	16106	76.92
U310-during	18104	15617	86.26	15417	14731	81.37	14358	79.31
U311-before	23211	19714	84.93	19529	18917	81.5	18454	79.51
U311-during	47146	40793	86.52	40378	39044	82.82	36966	78.41
U312-before	31253	28213	90.27	27980	27041	86.52	25135	80.42
U312-during	33643	29634	88.08	29456	28360	84.3	27044	80.39
U313-before	26880	24119	89.73	23974	23288	86.64	21527	80.09
U313-during	25119	22260	88.62	22165	21838	86.94	21428	85.31
U315-before	43005	36457	84.77	36255	35190	81.83	33433	77.74
U315-during	52817	44084	83.47	43838	42048	79.61	40861	77.36
U316-before	42299	38149	90.19	37795	35923	84.93	32541	76.93
U316-during	30143	27429	91	27160	25817	85.65	22992	76.28
U317-before	26826	24504	91.34	24106	23072	86.01	22244	82.92
U317-during	72650	58535	80.57	57872	54062	74.41	50575	69.61
U318-before	28396	23432	82.52	23063	21669	76.31	21173	74.56
U318-during	28937	23914	82.64	23570	22216	76.77	21285	73.56
U322-before	18107	16448	90.84	16207	15025	82.98	13476	74.42
U322-during	27040	23291	86.14	22930	21638	80.02	20599	76.18
U323-before	41395	36677	88.6	36168	33181	80.16	28669	69.26
U323-during	27148	25304	93.21	24987	23856	87.87	22143	81.56
U325-before	18324	15631	85.3	15323	14299	78.03	13808	75.35
U325-during	36839	33159	90.01	32741	31073	84.35	29670	80.54
U326-before	33547	28031	83.56	27781	26648	79.43	25901	77.21
U326-during	42594	38544	90.49	38431	38013	89.24	37536	88.13
U327-before	23477	20403	86.91	20201	19335	82.36	18473	78.69
U327-during	54428	50235	92.3	49851	47943	88.09	45474	83.55
U328-before	93257	81981	87.91	81812	80794	86.64	79304	85.04
U328-during	27154	24485	90.17	24447	24286	89.44	24286	89.44
U329-before	22870	19994	87.42	19750	18888	82.59	17528	76.64
U329-during	12455	10135	81.37	9914	9402	75.49	9126	73.27
U331-before	23806	21263	89.32	21122	20710	86.99	20215	84.92
U331-during	34204	30322	88.65	30109	29438	86.07	28672	83.83
U332-before	30172	27385	90.76	27048	25876	85.76	24796	82.18
U332-during	16204	14351	88.56	14180	13415	82.79	12981	80.11
U333-before	18399	15276	83.03	15220	14867	80.8	14766	80.25
U333-during	9651	7843	81.27	7801	7662	79.39	7662	79.39
U334-before	63467	55572	87.56	54675	50487	79.55	42802	67.44
U334-during	25440	21640	85.06	21204	19621	77.13	18146	71.33
U335-before	15195	13311	87.6	13164	12848	84.55	12269	80.74
U335-during	25478	22926	89.98	22761	22339	87.68	21256	83.43
U336-before	18963	17136	90.37	17079	16600	87.54	16417	86.57
U336-during	30672	27076	88.28	26970	26360	85.94	26140	85.22
U338-before	13428	11469	85.41	11300	10834	80.68	10217	76.09
U338-during	20551	17827	86.75	17712	17142	83.41	16596	80.76
U339-before	36562	31667	86.61	31567	30705	83.98	29640	81.07
U339-during	20643	18282	88.56	18229	18006	87.23	17857	86.5
U341-before	24541	21175	86.28	21090	20713	84.4	20212	82.36
U341-during	25680	21672	84.39	21603	21209	82.59	20725	80.7
U343-before	31184	27142	87.04	26720	25612	82.13	25154	80.66
U343-during	15396	13667	88.77	13554	12996	84.41	12800	83.14
U344-before	68081	58738	86.28	58593	56951	83.65	56369	82.8
U344-during	22695	21474	94.62	21388	21102	92.98	21033	92.68
