Sequence,Classification,% Abund. Before,% Abund During,Fold Change,Num >1% increase,p-value,Adjusted p-value
seq026,Anaerostipes,0.760657596371882,1.60986394557823,2.11641079147414,19,2.59686942172266e-07,0.000129843471086133
seq040,Bifidobacterium,0.474263038548753,1.24302721088435,2.62096581400908,7,8.70199899688131e-06,0.00217549974922033
seq096,Anaerostipes,0.182709750566893,0.403684807256236,2.20943220601924,3,3.28408466870951e-05,0.00547347444784918
seq064,Bifidobacterium,0.239229024943311,0.712868480725624,2.97985781990521,9,0.000134425141073808,0.016803142634226
seq184,Bifidobacterium,0.0370181405895692,0.186961451247166,5.05053598774885,3,0.000340233667220118,0.0340233667220118
seq024,Bifidobacterium,0.60187074829932,2.11190476190476,3.50890081944052,14,0.00134456255285145,0.112046879404288
seq330,Oscillibacter,0.0213151927437642,0.0367913832199546,1.72606382978723,0,0.00373253525625426,0.266609661161019
seq008,Roseburia,1.83100907029478,2.17108843537415,1.18573330443667,12,0.0146440264159225,0.742649267517862
seq105,Acidaminococcus,0.149263038548753,0.32437641723356,2.17318647930118,3,0.0150462518779318,0.742649267517862
seq417,Bacteroides,0.00895691609977324,0.0149659863945578,1.67088607594937,0,0.0152043642838339,0.742649267517862
seq461,Bacteroides,0.0103741496598639,0.0170634920634921,1.6448087431694,0,0.0167248528539751,0.742649267517862
seq009,Faecalibacterium,2.02018140589569,2.67363945578231,1.3234650353575,14,0.0179109157055217,0.742649267517862
seq062,Escherichia/Shigella,0.389002267573696,0.415589569160998,1.06834742057709,4,0.0205591139502604,0.742649267517862
seq109,Megasphaera,0.0602040816326531,0.209353741496599,3.4774011299435,2,0.0220054920064757,0.742649267517862
seq093,Faecalibacterium,0.267630385487528,0.428174603174603,1.59987290828214,1,0.023928357905555,0.742649267517862
seq311,Bacteroides,0.0156462585034014,0.0217120181405896,1.38768115942029,0,0.0242982869365079,0.742649267517862
seq012,Bacteroides,1.18611111111111,1.40266439909297,1.18257420064044,8,0.0256464164689872,0.742649267517862
seq097,Lachnospiraceae,0.17891156462585,0.208560090702948,1.16571609632446,0,0.026735373630643,0.742649267517862
seq183,Oscillibacter,0.0311791383219955,0.0511904761904762,1.64181818181818,0,0.0290535038986774,0.748677951640889
seq350,Bacteroides,0.00816326530612245,0.0113945578231293,1.39583333333333,0,0.0301008508050657,0.748677951640889
seq391,Bacteroides,0.0185374149659864,0.0282879818594104,1.52599388379205,0,0.0314444739689173,0.748677951640889
seq282,Faecalibacterium,0.0585600907029478,0.0974489795918367,1.66408518877057,1,0.0346459350792128,0.783970675486647
seq488,Faecalibacterium,0.0141156462585034,0.0188775510204082,1.33734939759036,0,0.037475590437472,0.783970675486647
seq054,Sutterella,0.423242630385488,0.482596371882086,1.14023573533351,0,0.0391155178653659,0.783970675486647
seq060,Prevotella,0.712528344671202,0.98202947845805,1.37823215848516,1,0.0399598918159402,0.783970675486647
seq260,Bacteroides,0.020124716553288,0.0243764172335601,1.2112676056338,0,0.0443032471548606,0.783970675486647
seq354,Bacteroides,0.0142857142857143,0.0206916099773243,1.4484126984127,0,0.0457206638682823,0.783970675486647
seq422,Bacteroides,0.0109977324263039,0.0160430839002268,1.45876288659794,0,0.047519706249578,0.783970675486647
seq367,Prevotella,0.000510204081632653,0.00147392290249433,2.88888888888889,0,0.0487562690890548,0.783970675486647
seq044,Akkermansia,0.456859410430839,0.617460317460317,1.35153244819457,4,0.0489312213295171,0.783970675486647
